Data File Name,GG_20170621_High Sensitivity DNA Assay_DE24802700_2017-06-21_14-37-03.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal,,
Date Created,"Wednesday, June 21, 2017 9:37:03 PM",,
Date Last Modified,"Wednesday, June 21, 2017 10:15:32 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
76.85,15.81998,,
76.9,15.54856,,
76.95,15.68565,,
77,16.04684,,
77.05,16.33702,,
77.1,16.80828,,
77.15,17.20988,,
77.2,17.15263,,
77.25,16.72796,,
77.3,16.21926,,
77.35,16.21515,,
77.4,16.2546,,
77.45,16.36774,,
77.5,16.76814,,
77.55,17.05494,,
77.6,17.35857,,
77.65,17.41448,,
77.7,17.39764,,
77.75,17.46561,,
77.8,17.64333,,
77.85,17.97802,,
77.9,18.34626,,
77.95,18.16363,,
78,17.82944,,
78.05,17.73939,,
78.1,18.04813,,
78.15,18.86045,,
78.2,19.60623,,
78.25,19.99313,,
78.3,19.81549,,
78.35,19.41103,,
78.4,19.34077,,
78.45,19.77151,,
78.5,20.02859,,
78.55,20.16553,,
78.6,20.27757,,
78.65,20.56,,
78.7,20.87942,,
78.75,20.93738,,
78.8,20.90138,,
78.85,20.66134,,
78.9,20.33499,,
78.95,20.41554,,
79,20.96608,,
79.05,21.82441,,
79.1,22.90544,,
79.15,23.58194,,
79.2,24.19964,,
79.25,24.49818,,
79.3,24.68883,,
79.35,24.54222,,
79.4,24.02488,,
79.45,23.57026,,
79.5,23.34385,,
79.55,23.10643,,
79.6,23.25051,,
79.65,23.84709,,
79.7,24.42156,,
79.75,25.18016,,
79.8,25.73478,,
79.85,26.17007,,
79.9,26.42547,,
79.95,26.16658,,
80,25.97889,,
80.05,25.83159,,
80.1,25.92231,,
80.15,25.98019,,
80.2,25.79788,,
80.25,25.59485,,
80.3,25.49617,,
80.35,25.52382,,
80.4,25.92191,,
80.45,26.44732,,
80.5,26.99556,,
80.55,27.30636,,
80.6,27.43307,,
80.65,27.49466,,
80.7,27.58518,,
80.75,27.87519,,
80.8,28.37759,,
80.85,29.22359,,
80.9,29.85411,,
80.95,29.97629,,
81,30.01168,,
81.05,30.27025,,
81.1,30.39291,,
81.15,30.37301,,
81.2,30.04735,,
81.25,29.5932,,
81.3,29.14055,,
81.35,29.15144,,
81.4,29.57508,,
81.45,29.97909,,
81.5,29.87525,,
81.55,29.78424,,
81.6,30.01577,,
81.65,30.4527,,
81.7,31.53575,,
81.75,32.43099,,
81.8,32.93459,,
81.85,32.95468,,
81.9,32.88643,,
81.95,33.01289,,
82,33.16547,,
82.05,32.9444,,
82.1,32.96403,,
82.15,32.93348,,
82.2,33.05164,,
82.25,33.19647,,
82.3,33.95948,,
82.35,34.88546,,
82.4,35.42907,,
82.45,35.59993,,
82.5,35.98033,,
82.55,36.15219,,
82.6,36.39933,,
82.65,36.5276,,
82.7,36.88997,,
82.75,37.18385,,
82.8,37.28877,,
82.85,37.43224,,
82.9,37.76371,,
82.95,38.0051,,
83,38.33286,,
83.05,38.85189,,
83.1,39.23606,,
83.15,39.51019,,
83.2,39.65398,,
83.25,39.6582,,
83.3,39.7321,,
83.35,39.84931,,
83.4,40.22203,,
83.45,40.84083,,
83.5,41.28137,,
83.55,41.56427,,
83.6,41.39944,,
83.65,40.82816,,
83.7,40.25642,,
83.75,40.09125,,
83.8,40.10945,,
83.85,40.61809,,
83.9,41.67618,,
83.95,42.69761,,
84,43.48072,,
84.05,44.45986,,
84.1,45.41552,,
84.15,45.64231,,
84.2,45.50238,,
84.25,45.24802,,
