Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-03-20_12-29-39.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 20, 2018 7:29:39 PM",,
Date Last Modified,"Tuesday, March 20, 2018 9:37:10 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,7,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
52.15,0.2617701,,
52.2,0.3373285,,
52.25,0.3384544,,
52.3,0.2799916,,
52.35,0.2492437,,
52.4,9.08E-02,,
52.45,-1.56E-02,,
52.5,-0.1667354,,
52.55,-0.1852659,,
52.6,-0.1583673,,
52.65,-0.1526278,,
52.7,-7.51E-02,,
52.75,-2.04E-02,,
52.8,1.40E-02,,
52.85,0.0401688,,
52.9,5.16E-02,,
52.95,4.37E-02,,
53,3.66E-02,,
53.05,4.41E-02,,
53.1,4.47E-02,,
53.15,3.37E-02,,
53.2,4.29E-02,,
53.25,4.05E-02,,
53.3,4.30E-02,,
53.35,5.06E-02,,
53.4,5.84E-02,,
53.45,5.42E-02,,
53.5,-1.15E-02,,
53.55,-6.11E-02,,
53.6,-4.89E-02,,
53.65,-4.80E-02,,
53.7,-7.01E-03,,
53.75,0.0286101,,
53.8,0.0302996,,
53.85,1.01E-02,,
53.9,-4.55E-02,,
53.95,-0.1079294,,
54,-8.49E-02,,
54.05,3.19E-02,,
54.1,0.1513808,,
54.15,0.2564971,,
54.2,0.2796492,,
54.25,0.2064329,,
54.3,7.76E-02,,
54.35,-8.08E-02,,
54.4,-0.155979,,
54.45,-0.1282078,,
54.5,-0.1233787,,
54.55,-0.1012716,,
54.6,-9.99E-02,,
54.65,-0.1156279,,
54.7,-8.99E-02,,
54.75,-3.38E-02,,
54.8,5.16E-03,,
54.85,2.37E-02,,
54.9,1.89E-02,,
54.95,-9.53E-03,,
55,-0.0592336,,
55.05,-0.1200257,,
55.1,-9.07E-02,,
55.15,-0.0795722,,
55.2,-0.1432288,,
55.25,-0.180012,,
55.3,-0.1804564,,
55.35,-0.1343144,,
55.4,-0.1197569,,
55.45,-0.1019198,,
55.5,-3.86E-02,,
55.55,2.50E-03,,
55.6,-7.18E-03,,
55.65,-3.67E-02,,
55.7,-5.90E-02,,
55.75,-1.72E-02,,
55.8,2.04E-02,,
55.85,-2.15E-02,,
55.9,-2.57E-02,,
55.95,-4.23E-02,,
56,-0.1064708,,
56.05,-0.1728141,,
56.1,-0.1888396,,
56.15,-0.1469397,,
56.2,-0.1148823,,
56.25,-0.1227536,,
56.3,-0.1240099,,
56.35,-0.1297182,,
56.4,-0.190434,,
56.45,-0.2449528,,
56.5,-0.2401842,,
56.55,-0.2339706,,
56.6,-0.2285098,,
56.65,-0.2028333,,
56.7,-0.2250379,,
56.75,-0.2140024,,
56.8,-0.2036655,,
56.85,-0.1603797,,
56.9,-0.1124795,,
56.95,-0.1099913,,
57,-0.1288337,,
57.05,-0.1010465,,
57.1,-0.103951,,
57.15,-1.47E-02,,
57.2,6.99E-02,,
57.25,0.1413139,,
57.3,0.202296,,
57.35,0.2562016,,
57.4,0.3528257,,
57.45,0.4458261,,
57.5,0.473489,,
57.55,0.3779812,,
57.6,0.3183024,,
57.65,0.2446278,,
57.7,0.2376986,,
57.75,0.2830262,,
57.8,0.2900265,,
57.85,0.3475188,,
57.9,0.4402745,,
57.95,0.4962307,,
58,0.6052838,,
58.05,0.7103555,,
58.1,0.8082054,,
58.15,0.8757561,,
58.2,0.8583792,,
58.25,0.847389,,
58.3,0.9204749,,
58.35,0.9550046,,
58.4,0.9953272,,
58.45,1.027887,,
58.5,1.029312,,
58.55,1.109579,,
58.6,1.085641,,
58.65,1.012544,,
58.7,1.004031,,
58.75,1.059895,,
58.8,1.155716,,
58.85,1.290113,,
58.9,1.443182,,
58.95,1.556414,,
59,1.564776,,
59.05,1.511455,,
59.1,1.497893,,
59.15,1.554222,,
59.2,1.66341,,
59.25,1.789746,,
59.3,1.886249,,
59.35,1.971175,,
59.4,1.970728,,
59.45,2.031509,,
59.5,2.121981,,
59.55,2.287787,,
59.6,2.360769,,
59.65,2.396542,,
59.7,2.462656,,
59.75,2.606619,,
59.8,2.777499,,
59.85,2.982924,,
59.9,3.202373,,
59.95,3.3708,,
60,3.461142,,
60.05,3.497064,,
60.1,3.610372,,
60.15,3.872825,,
60.2,4.204698,,
60.25,4.599655,,
60.3,4.94662,,
60.35,5.191279,,
60.4,5.316064,,
60.45,5.364886,,
60.5,5.437805,,
60.55,5.572517,,
60.6,5.668584,,
60.65,5.810067,,
60.7,5.939592,,
60.75,6.017408,,
60.8,6.120393,,
60.85,6.310813,,
60.9,6.618016,,
60.95,7.000023,,
61,7.364127,,
61.05,7.674761,,
61.1,8.056,,
61.15,8.178683,,
61.2,8.406335,,
61.25,8.838343,,
61.3,9.352947,,
61.35,10.07733,,
61.4,10.66506,,
61.45,11.03811,,
61.5,11.2639,,
61.55,11.33496,,
61.6,11.36158,,
61.65,11.41875,,
61.7,11.52017,,
61.75,11.76603,,
61.8,12.07801,,
61.85,12.25078,,
61.9,12.54254,,
61.95,12.83445,,
62,13.17035,,
62.05,13.44054,,
62.1,13.62617,,
62.15,13.81006,,
62.2,14.01177,,
62.25,14.27939,,
62.3,14.49621,,
62.35,14.65983,,
62.4,14.92499,,
62.45,15.21762,,
62.5,15.43804,,
62.55,15.63679,,
62.6,15.81889,,
62.65,15.97602,,
62.7,16.20017,,
62.75,16.49537,,
62.8,17.01786,,
62.85,17.56523,,
62.9,18.04984,,
62.95,18.12354,,
63,18.17671,,
63.05,18.17768,,
63.1,18.42544,,
63.15,18.77029,,
63.2,19.16608,,
63.25,19.70982,,
63.3,20.3507,,
63.35,21.0356,,
63.4,21.83666,,
63.45,22.77833,,
63.5,23.78174,,
63.55,24.77711,,
63.6,25.75262,,
63.65,27.13935,,
63.7,28.53461,,
63.75,29.59173,,
63.8,30.48162,,
63.85,31.08895,,
63.9,31.55492,,
63.95,31.97126,,
64,32.2878,,
64.05,32.56911,,
64.1,32.73636,,
64.15,32.83853,,
64.2,32.92736,,
64.25,33.05695,,
64.3,33.35743,,
64.35,33.77198,,
64.4,34.02243,,
64.45,34.11412,,
64.5,34.28146,,
64.55,34.40259,,
64.6,34.3139,,
64.65,34.38013,,
64.7,34.58633,,
64.75,34.61992,,
64.8,34.5895,,
64.85,34.50232,,
64.9,34.5046,,
64.95,34.44188,,
65,34.32275,,
65.05,34.24339,,
65.1,34.16465,,
65.15,34.0846,,
65.2,34.1376,,
65.25,34.31684,,
65.3,34.43157,,
65.35,34.54839,,
65.4,34.65776,,
65.45,34.71292,,
65.5,35.00988,,
65.55,35.26786,,
65.6,35.7636,,
65.65,36.62876,,
65.7,37.78327,,
65.75,39.08475,,
65.8,40.20192,,
65.85,40.94392,,
65.9,41.46877,,
65.95,41.9184,,
66,42.35272,,
66.05,42.7711,,
66.1,43.0296,,
66.15,43.1683,,
66.2,43.21978,,
66.25,42.8771,,
66.3,42.46043,,
66.35,42.10875,,
66.4,41.66482,,
66.45,41.06131,,
66.5,40.74155,,
66.55,40.47564,,
66.6,40.50787,,
66.65,40.8337,,
66.7,41.45245,,
66.75,42.35956,,
66.8,43.35798,,
66.85,44.48619,,
66.9,45.82792,,
66.95,47.13968,,
67,48.55116,,
67.05,50.28344,,
67.1,51.97277,,
67.15,53.27006,,
67.2,54.23876,,
67.25,54.87882,,
67.3,55.1582,,
67.35,54.97119,,
67.4,54.69495,,
67.45,54.29081,,
67.5,53.63737,,
67.55,52.77277,,
67.6,51.6247,,
67.65,50.1431,,
67.7,48.43222,,
67.75,46.6905,,
67.8,44.98517,,
67.85,43.20298,,
67.9,41.46965,,
67.95,39.76101,,
68,37.86602,,
68.05,35.83892,,
68.1,34.2975,,
68.15,32.96563,,
68.2,31.78108,,
68.25,30.72355,,
68.3,29.57673,,
68.35,28.47152,,
68.4,27.33603,,
68.45,26.51201,,
68.5,25.86952,,
68.55,25.23337,,
68.6,24.75028,,
68.65,24.37098,,
68.7,23.96856,,
68.75,23.57853,,
68.8,23.18787,,
68.85,22.68771,,
68.9,22.42571,,
68.95,21.80826,,
69,21.44608,,
69.05,21.16278,,
69.1,20.75566,,
69.15,20.27385,,
69.2,19.77785,,
69.25,19.34138,,
69.3,18.88743,,
69.35,18.36125,,
69.4,17.83608,,
69.45,17.3293,,
69.5,16.77689,,
69.55,16.28499,,
69.6,16.01707,,
69.65,15.73335,,
69.7,15.27788,,
69.75,14.81158,,
69.8,14.23713,,
69.85,13.90123,,
69.9,13.74088,,
69.95,13.51916,,
70,13.47532,,
70.05,13.24099,,
70.1,12.80702,,
70.15,12.36398,,
70.2,12.03053,,
70.25,11.9658,,
70.3,12.10358,,
70.35,12.22372,,
70.4,12.30902,,
70.45,12.30905,,
70.5,12.16336,,
70.55,12.05039,,
70.6,12.00493,,
70.65,12.12753,,
70.7,12.22955,,
70.75,12.31053,,
70.8,12.3342,,
70.85,12.30726,,
70.9,12.34481,,
70.95,12.4441,,
71,12.45477,,
71.05,12.31909,,
71.1,12.06148,,
71.15,11.86263,,
71.2,11.85777,,
71.25,11.98713,,
71.3,12.19346,,
71.35,12.33501,,
71.4,12.3787,,
71.45,12.21083,,
71.5,12.01088,,
71.55,12.02428,,
71.6,12.19511,,
71.65,12.48299,,
71.7,12.61607,,
71.75,12.64482,,
71.8,12.70635,,
71.85,12.64273,,
71.9,12.4852,,
71.95,12.3905,,
72,12.37582,,
72.05,12.47374,,
72.1,12.66782,,
72.15,12.80534,,
72.2,12.99846,,
72.25,13.1471,,
72.3,13.15774,,
72.35,13.22473,,
72.4,13.27226,,
72.45,13.23276,,
72.5,13.17835,,
72.55,13.05338,,
72.6,12.93307,,
72.65,13.2165,,
72.7,13.57335,,
72.75,13.81033,,
72.8,13.88852,,
72.85,13.92381,,
72.9,13.95707,,
72.95,13.86126,,
73,13.71442,,
73.05,13.77903,,
73.1,14.00276,,
73.15,13.99725,,
73.2,14.02678,,
73.25,14.09517,,
73.3,14.0918,,
73.35,14.04139,,
73.4,13.98138,,
73.45,14.07362,,
73.5,14.21055,,
73.55,14.28878,,
73.6,14.46537,,
73.65,14.65483,,
73.7,14.8884,,
73.75,15.17136,,
73.8,15.26498,,
73.85,15.12263,,
73.9,14.97245,,
73.95,14.86924,,
74,14.76994,,
74.05,14.77551,,
74.1,14.91939,,
74.15,14.98127,,
74.2,14.79593,,
74.25,14.69267,,
74.3,14.84361,,
74.35,15.1033,,
74.4,15.30628,,
74.45,15.44708,,
74.5,15.55866,,
74.55,15.57935,,
74.6,15.55233,,
74.65,15.52728,,
74.7,15.46259,,
74.75,15.44001,,
74.8,15.48852,,
74.85,15.50544,,
74.9,15.55155,,
74.95,15.57183,,
75,15.75861,,
75.05,15.7484,,
75.1,15.70779,,
75.15,15.79141,,
75.2,16.02092,,
75.25,16.08256,,
75.3,16.04596,,
75.35,15.97318,,
75.4,15.95413,,
75.45,15.92441,,
75.5,15.86173,,
75.55,15.92462,,
75.6,16.09523,,
75.65,16.24296,,
75.7,16.36755,,
75.75,16.45222,,
75.8,16.56653,,
75.85,16.6241,,
75.9,16.76167,,
75.95,16.94043,,
76,17.25683,,
76.05,17.34371,,
76.1,17.3147,,
76.15,17.22581,,
76.2,17.23593,,
76.25,17.29906,,
76.3,17.27985,,
76.35,17.17397,,
76.4,17.08347,,
76.45,17.07814,,
76.5,17.09893,,
76.55,17.14022,,
76.6,17.42999,,
76.65,17.68306,,
76.7,17.72194,,
76.75,17.74869,,
76.8,17.75557,,
76.85,17.78511,,
76.9,17.82769,,
76.95,17.9039,,
77,18.03883,,
77.05,17.93668,,
77.1,17.68938,,
77.15,17.51714,,
77.2,17.40434,,
77.25,17.41608,,
77.3,17.62328,,
77.35,17.78246,,
77.4,17.86773,,
77.45,17.76161,,
77.5,17.5163,,
77.55,17.47509,,
77.6,17.32626,,
77.65,17.40045,,
77.7,17.39118,,
77.75,17.66247,,
77.8,18.01385,,
77.85,18.3853,,
77.9,18.59543,,
77.95,18.77586,,
78,18.90022,,
78.05,18.96522,,
78.1,19.04361,,
78.15,19.21698,,
78.2,19.51826,,
78.25,19.56491,,
78.3,19.50379,,
78.35,19.16603,,
78.4,18.76243,,
78.45,18.60148,,
78.5,18.76553,,
78.55,19.10114,,
78.6,19.51294,,
78.65,19.83618,,
78.7,19.91709,,
78.75,19.90676,,
78.8,19.96857,,
78.85,20.1313,,
78.9,20.31651,,
78.95,20.41678,,
79,20.43197,,
79.05,20.46247,,
79.1,20.57051,,
79.15,20.87652,,
79.2,21.38527,,
79.25,21.97463,,
79.3,22.68196,,
79.35,23.23984,,
79.4,23.58764,,
79.45,23.77702,,
79.5,24.20996,,
79.55,24.50709,,
79.6,24.35686,,
79.65,24.23786,,
79.7,24.19401,,
79.75,23.85701,,
79.8,23.34111,,
79.85,22.84494,,
79.9,22.36602,,
79.95,22.11435,,
80,21.7567,,
80.05,21.76743,,
80.1,22.00373,,
80.15,22.05169,,
80.2,22.07637,,
80.25,22.33472,,
80.3,22.37433,,
80.35,22.52932,,
80.4,22.72607,,
80.45,22.87053,,
80.5,22.80804,,
80.55,22.617,,
80.6,22.33392,,
80.65,22.02784,,
80.7,21.92882,,
80.75,22.20751,,
80.8,22.81812,,
80.85,23.45553,,
80.9,23.66512,,
80.95,23.68001,,
81,23.57658,,
81.05,23.38483,,
81.1,23.54057,,
81.15,23.88236,,
81.2,24.15144,,
81.25,24.45306,,
81.3,24.39232,,
81.35,24.17454,,
81.4,24.05433,,
81.45,24.06333,,
81.5,24.20157,,
81.55,24.45338,,
81.6,24.7561,,
81.65,25.07159,,
81.7,25.34682,,
81.75,25.53565,,
81.8,25.65907,,
81.85,26.02282,,
81.9,26.44387,,
81.95,26.97988,,
82,26.97653,,
82.05,26.73376,,
82.1,26.50473,,
82.15,26.33947,,
82.2,26.22039,,
82.25,26.44358,,
82.3,27.0829,,
82.35,27.74577,,
82.4,28.04529,,
82.45,28.10341,,
82.5,28.14627,,
82.55,27.97154,,
82.6,27.70597,,
82.65,27.56367,,
82.7,27.68855,,
82.75,28.15218,,
82.8,28.12837,,
82.85,28.55386,,
82.9,28.68792,,
82.95,29.01559,,
83,29.32549,,
83.05,29.51563,,
83.1,29.6928,,
83.15,29.73064,,
83.2,29.79598,,
83.25,30.05893,,
83.3,30.16917,,
83.35,30.03514,,
83.4,29.99805,,
83.45,29.63684,,
83.5,29.46281,,
83.55,29.61479,,
83.6,29.76998,,
83.65,30.08912,,
83.7,30.24796,,
83.75,30.49529,,
83.8,30.62677,,
83.85,30.93739,,
83.9,31.20191,,
83.95,31.32374,,
84,31.14956,,
84.05,30.83815,,
84.1,30.68398,,
84.15,30.68194,,
84.2,30.70118,,
84.25,30.8448,,
84.3,31.18094,,
84.35,31.33367,,
84.4,31.44896,,
