Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-02-06_13-10-41.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, February 06, 2018 9:10:42 PM"
Date Last Modified,"Tuesday, February 06, 2018 10:15:47 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
53.3,-0.3404714
53.35,-0.3603593
53.4,-0.4174889
53.45,-0.4709077
53.5,-0.4494629
53.55,-0.4332632
53.6,-0.3861867
53.65,-0.3440793
53.7,-0.3821372
53.75,-0.4552819
53.8,-0.4667941
53.85,-0.4361934
53.9,-0.402756
53.95,-0.3914047
54,-0.3079365
54.05,0.0587873
54.1,1.140972
54.15,3.707107
54.2,8.472898
54.25,15.86221
54.3,25.64405
54.35,36.78489
54.4,47.57851
54.45,55.51553
54.5,58.83118
54.55,56.78558
54.6,49.90252
54.65,39.91016
54.7,29.17393
54.75,19.68165
54.8,12.48425
54.85,7.620888
54.9,4.887753
54.95,3.431826
55,2.630188
55.05,2.148277
55.1,1.72245
55.15,1.236211
55.2,0.8759537
55.25,0.5892011
55.3,0.4071464
55.35,0.3554873
55.4,0.2773947
55.45,0.1467277
55.5,1.061249E-02
55.55,-9.925947E-02
55.6,-0.1065623
55.65,-8.389628E-02
55.7,1.496167E-02
55.75,5.064238E-02
55.8,-3.068011E-02
55.85,-0.1405644
55.9,-0.2053359
55.95,-0.2800219
56,-0.3295965
56.05,-0.2976735
56.1,-0.2353313
56.15,-0.2306204
56.2,-0.3566284
56.25,-0.4484034
56.3,-0.5165648
56.35,-0.6108845
56.4,-0.627342
56.45,-0.5508526
56.5,-0.4808323
56.55,-0.4969976
56.6,-0.5671504
56.65,-0.5547416
56.7,-0.5432037
56.75,-0.6181187
56.8,-0.6523126
56.85,-0.5939095
56.9,-0.5773617
56.95,-0.5950206
57,-0.5859528
57.05,-0.6649812
57.1,-0.7272068
57.15,-0.7599343
57.2,-0.7249388
57.25,-0.7153773
57.3,-0.7306069
57.35,-0.7128966
57.4,-0.6656269
57.45,-0.6975831
57.5,-0.651268
57.55,-0.7114369
57.6,-0.8078336
57.65,-0.8995161
57.7,-0.9600108
57.75,-1.002226
57.8,-1.012091
57.85,-1.008189
57.9,-0.9804195
57.95,-0.9834558
58,-1.020772
58.05,-1.071511
58.1,-1.088326
58.15,-1.12852
58.2,-1.198558
58.25,-1.286595
58.3,-1.357141
58.35,-1.444791
58.4,-1.369629
58.45,-0.8221189
58.5,0.5037813
58.55,3.219798
58.6,8.301072
58.65,15.83475
58.7,25.96583
58.75,37.40176
58.8,48.01437
58.85,55.73473
58.9,59.03348
58.95,57.21283
59,50.79257
59.05,41.28188
59.1,31.27374
59.15,22.00184
59.2,14.57068
59.25,9.482556
59.3,6.382634
59.35,4.551143
59.4,3.45706
59.45,2.756122
59.5,2.208519
59.55,1.665764
59.6,1.223522
59.65,0.9517952
59.7,0.7875515
59.75,0.627189
59.8,0.4795436
59.85,0.314005
59.9,0.1067301
59.95,-0.1038193
60,-0.2609406
60.05,-0.3896284
60.1,-0.4476581
60.15,-0.4574658
60.2,-0.5390878
60.25,-0.6456839
60.3,-0.7925483
60.35,-0.8811473
60.4,-0.9677468
60.45,-1.000737
60.5,-1.020919
60.55,-1.060807
60.6,-1.054293
60.65,-0.9319668
60.7,-0.8737502
60.75,-0.8773971
60.8,-0.9467435
60.85,-1.004463
60.9,-1.077242
60.95,-1.077569
61,-1.049637
61.05,-1.066842
61.1,-1.084837
