Data File Name,nextera4_jlc_High Sensitivity DNA Assay_DE24802700_2016-11-10_11-15-46.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, November 10, 2016 7:15:46 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:45 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,20161111,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
49.75,-0.3564333,,
49.8,-0.4151679,,
49.85,-0.5273335,,
49.9,-0.5629496,,
49.95,-0.5578301,,
50,-0.5350115,,
50.05,-0.5792947,,
50.1,-0.6569665,,
50.15,-0.681675,,
50.2,-0.6631967,,
50.25,-0.642079,,
50.3,-0.6058687,,
50.35,-0.5606083,,
50.4,-0.5777697,,
50.45,-0.6282951,,
50.5,-0.6996827,,
50.55,-0.7511511,,
50.6,-0.7813174,,
50.65,-0.7704183,,
50.7,-0.7212399,,
50.75,-0.662949,,
50.8,-0.6399192,,
50.85,-0.6836149,,
50.9,-0.7753221,,
50.95,-0.8492959,,
51,-0.8591693,,
51.05,-0.7831365,,
51.1,-0.6824813,,
51.15,-0.644612,,
51.2,-0.6733649,,
51.25,-0.7239041,,
51.3,-0.7261541,,
51.35,-0.6845597,,
51.4,-0.6299475,,
51.45,-0.5506518,,
51.5,-0.4924609,,
51.55,-0.5177792,,
51.6,-0.5673779,,
51.65,-0.6117443,,
51.7,-0.6437644,,
51.75,-0.6809362,,
51.8,-0.6473774,,
51.85,-0.6344986,,
51.9,-0.641022,,
51.95,-0.634747,,
52,-0.5429826,,
52.05,-0.4351094,,
52.1,-0.4050518,,
52.15,-0.4345285,,
52.2,-0.4723546,,
52.25,-0.5381601,,
52.3,-0.6381732,,
52.35,-0.7134433,,
52.4,-0.7487802,,
52.45,-0.6973649,,
52.5,-0.7407852,,
52.55,-0.8101035,,
52.6,-0.8434368,,
52.65,-0.9157947,,
52.7,-0.9562152,,
52.75,-0.945002,,
52.8,-0.9107604,,
52.85,-0.8677304,,
52.9,-0.8180882,,
52.95,-0.7763582,,
53,-0.7765461,,
53.05,-0.7877994,,
53.1,-0.8238889,,
53.15,-0.7712416,,
53.2,-0.8035561,,
53.25,-0.8328533,,
53.3,-0.8643883,,
53.35,-0.8495603,,
53.4,-0.8482265,,
53.45,-0.8538576,,
53.5,-0.8426754,,
53.55,-0.8524287,,
53.6,-0.8926048,,
53.65,-0.9089693,,
53.7,-0.8888232,,
53.75,-0.7757175,,
53.8,-0.6845683,,
53.85,-0.6372611,,
53.9,-0.6510839,,
53.95,-0.6902001,,
54,-0.6384316,,
54.05,-0.5500202,,
54.1,-0.5256025,,
54.15,-0.5585872,,
54.2,-0.5933725,,
54.25,-0.6130525,,
54.3,-0.6178941,,
54.35,-0.6172898,,
54.4,-0.5614377,,
54.45,-0.5451373,,
54.5,-0.7090355,,
54.55,-0.7975112,,
54.6,-0.8448135,,
54.65,-0.78871,,
54.7,-0.7266334,,
54.75,-0.6916617,,
54.8,-0.6507398,,
54.85,-0.6391758,,
54.9,-0.6997849,,
54.95,-0.7783433,,
55,-0.8367718,,
55.05,-0.8659639,,
55.1,-0.9015437,,
55.15,-0.9197946,,
55.2,-0.881169,,
55.25,-0.8063763,,
55.3,-0.7892744,,
55.35,-0.8001922,,
55.4,-0.8100601,,
55.45,-0.8308687,,
55.5,-0.8364742,,
55.55,-0.7932109,,
55.6,-0.7195064,,
55.65,-0.6610871,,
55.7,-0.6898827,,
55.75,-0.7903731,,
55.8,-0.7676318,,
55.85,-0.7295427,,
55.9,-0.7545273,,
55.95,-0.7839796,,
56,-0.8553783,,
56.05,-0.9035624,,
56.1,-0.9625981,,
56.15,-0.9761207,,
56.2,-0.8988243,,
56.25,-0.8161697,,
56.3,-0.8182232,,
56.35,-0.9117663,,
56.4,-0.9887505,,
56.45,-0.9642707,,
56.5,-0.9203699,,
56.55,-0.8830168,,
56.6,-0.8557661,,
56.65,-0.890415,,
56.7,-0.9242489,,
56.75,-1.015741,,
56.8,-1.065236,,
56.85,-1.025007,,
56.9,-0.9542173,,
56.95,-0.8725229,,
57,-0.8038353,,
57.05,-0.7635377,,
57.1,-0.7794133,,
57.15,-0.869976,,
57.2,-0.9526239,,
57.25,-0.9664063,,
57.3,-1.030587,,
57.35,-1.08517,,
57.4,-1.126045,,
57.45,-1.130614,,
57.5,-1.094071,,
57.55,-1.056333,,
57.6,-1.015404,,
57.65,-0.9490585,,
57.7,-0.9554157,,
57.75,-0.9505506,,
57.8,-0.886365,,
57.85,-0.7972431,,
57.9,-0.7990726,,
57.95,-0.8411044,,
58,-1.000107,,
58.05,-1.068604,,
58.1,-1.065387,,
58.15,-1.00293,,
58.2,-0.9155654,,
58.25,-0.8707049,,
58.3,-0.88622,,
58.35,-0.9443989,,
58.4,-0.9308948,,
58.45,-0.9382914,,
58.5,-0.9157196,,
58.55,-0.9011288,,
58.6,-0.9101468,,
58.65,-0.8925303,,
58.7,-0.8547023,,
58.75,-0.8058936,,
58.8,-0.7319719,,
58.85,-0.6515788,,
58.9,-0.6124242,,
58.95,-0.6506726,,
59,-0.7622937,,
59.05,-0.8801343,,
59.1,-0.9413258,,
59.15,-0.9858906,,
59.2,-1.001315,,
59.25,-0.9619749,,
59.3,-0.9428427,,
59.35,-0.9108816,,
59.4,-0.9051173,,
59.45,-0.8896248,,
59.5,-0.8570258,,
59.55,-0.8036433,,
59.6,-0.7476462,,
59.65,-0.7279407,,
59.7,-0.7095067,,
59.75,-0.7192636,,
59.8,-0.7616912,,
59.85,-0.8090279,,
59.9,-0.7908602,,
59.95,-0.7469001,,
60,-0.6674057,,
60.05,-0.6043229,,
60.1,-0.5342354,,
60.15,-0.4701717,,
60.2,-0.4140458,,
60.25,-0.3573227,,
60.3,-0.3140984,,
60.35,-0.3144099,,
60.4,-0.4015353,,
60.45,-0.4952349,,
60.5,-0.4249065,,
60.55,-0.359013,,
60.6,-0.2276142,,
60.65,-4.34E-02,,
60.7,4.97E-02,,
60.75,5.80E-02,,
60.8,-4.97E-04,,
60.85,-0.1052427,,
60.9,-0.155109,,
60.95,-0.1336313,,
61,-0.1265285,,
61.05,-5.55E-02,,
61.1,0.0188281,,
61.15,-3.00E-02,,
61.2,-5.97E-02,,
61.25,-7.38E-02,,
61.3,-9.55E-02,,
61.35,-0.0618482,,
61.4,-5.11E-02,,
61.45,-5.70E-02,,
61.5,-9.11E-04,,
61.55,8.42E-02,,
61.6,0.1463137,,
61.65,0.2037917,,
61.7,0.2398662,,
61.75,0.2190312,,
61.8,6.61E-02,,
61.85,-4.94E-02,,
61.9,1.40E-03,,
61.95,0.1252602,,
62,0.181936,,
62.05,0.2930046,,
62.1,0.3908739,,
62.15,0.4430765,,
62.2,0.4429142,,
62.25,0.4384378,,
62.3,0.4248099,,
62.35,0.3473711,,
62.4,0.3405389,,
62.45,0.4328152,,
62.5,0.6110249,,
62.55,0.7044199,,
62.6,0.7910001,,
62.65,0.8056124,,
62.7,0.79018,,
62.75,0.7153797,,
62.8,0.682569,,
62.85,0.747923,,
62.9,0.8634204,,
62.95,0.9733108,,
63,1.068152,,
63.05,1.165721,,
63.1,1.296939,,
63.15,1.340536,,
63.2,1.353644,,
63.25,1.361172,,
63.3,1.328882,,
63.35,1.372824,,
63.4,1.430453,,
63.45,1.500336,,
63.5,1.645342,,
63.55,1.772467,,
63.6,1.798334,,
63.65,1.717671,,
63.7,1.576308,,
63.75,1.571642,,
63.8,1.58801,,
63.85,1.562506,,
63.9,1.72397,,
63.95,1.863647,,
64,1.918496,,
64.05,1.987358,,
64.1,2.098878,,
64.15,2.191343,,
64.2,2.251623,,
64.25,2.281181,,
64.3,2.280759,,
64.35,2.256898,,
64.4,2.221648,,
64.45,2.280431,,
64.5,2.453427,,
64.55,2.52918,,
64.6,2.433169,,
64.65,2.469876,,
64.7,2.464151,,
64.75,2.46018,,
64.8,2.506957,,
64.85,2.602531,,
64.9,2.72538,,
64.95,2.831826,,
65,2.93994,,
65.05,3.119517,,
65.1,3.28984,,
65.15,3.404867,,
65.2,3.407982,,
65.25,3.360458,,
65.3,3.257723,,
65.35,3.203275,,
65.4,3.253591,,
65.45,3.403457,,
65.5,3.50669,,
65.55,3.631013,,
65.6,3.755026,,
65.65,3.840903,,
65.7,3.967877,,
65.75,4.020493,,
65.8,3.92758,,
65.85,3.864992,,
65.9,3.910086,,
65.95,3.829254,,
66,3.94154,,
66.05,4.113831,,
66.1,4.222861,,
66.15,4.184586,,
66.2,4.130978,,
66.25,4.233574,,
66.3,4.463555,,
66.35,4.706354,,
66.4,4.973852,,
66.45,5.224532,,
66.5,5.217672,,
66.55,5.056401,,
66.6,4.970151,,
66.65,4.944898,,
