Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Wednesday, September 06, 2017 9:50:13 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,nextera0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
75.3,21.95395,,
75.35,21.6372,,
75.4,21.00056,,
75.45,20.6242,,
75.5,20.99276,,
75.55,20.74833,,
75.6,20.29179,,
75.65,20.10284,,
75.7,20.95402,,
75.75,21.87505,,
75.8,22.43653,,
75.85,23.39169,,
75.9,24.52945,,
75.95,24.9097,,
76,24.8229,,
76.05,24.78613,,
76.1,24.15344,,
76.15,22.96396,,
76.2,21.90487,,
76.25,21.34502,,
76.3,21.26132,,
76.35,21.46606,,
76.4,21.93382,,
76.45,22.58703,,
76.5,22.93795,,
76.55,22.9835,,
76.6,23.10293,,
76.65,23.10947,,
76.7,23.26087,,
76.75,23.81881,,
76.8,24.6609,,
76.85,25.18729,,
76.9,25.34883,,
76.95,25.3462,,
77,25.69407,,
77.05,26.5556,,
77.1,26.94208,,
77.15,27.59625,,
77.2,27.61364,,
77.25,27.41295,,
77.3,27.06944,,
77.35,26.59256,,
77.4,25.75301,,
77.45,25.80906,,
77.5,26.14464,,
77.55,26.94401,,
77.6,28.00795,,
77.65,28.96257,,
77.7,29.4801,,
77.75,29.74487,,
77.8,29.82762,,
77.85,30.32715,,
77.9,30.50614,,
77.95,30.19782,,
78,29.52599,,
78.05,28.76833,,
78.1,28.9025,,
78.15,30.12675,,
78.2,31.70946,,
78.25,33.16865,,
78.3,34.13625,,
78.35,33.9758,,
78.4,33.58475,,
78.45,33.69751,,
78.5,34.50419,,
78.55,35.24229,,
78.6,35.26014,,
