Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Wednesday, September 06, 2017 9:50:13 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
72.2,0.5721648
72.25,0.4159639
72.3,0.2411563
72.35,-5.376022E-02
72.4,-0.1691016
72.45,-0.3076479
72.5,-0.2834057
72.55,-0.2198319
72.6,-0.215185
72.65,-0.2652601
72.7,-0.1718645
72.75,-4.819302E-02
72.8,-0.2232547
72.85,-0.2344171
72.9,-0.215982
72.95,-0.2057521
73,-0.2914821
73.05,-0.3369334
73.1,-0.4323233
73.15,-0.540741
73.2,-0.4888946
73.25,-0.4463991
73.3,-0.4471909
73.35,-0.5207472
73.4,-0.6214845
73.45,-0.5781295
73.5,-0.5854564
73.55,-0.523157
73.6,-0.4326313
73.65,-0.4442827
73.7,-0.48566
73.75,-0.5904554
73.8,-0.5310122
73.85,-0.4424391
73.9,-0.3291645
73.95,-0.2513716
74,-0.326103
74.05,-0.4125785
74.1,-0.5654919
74.15,-0.6274075
74.2,-0.640603
74.25,-0.5710752
74.3,-0.5392242
74.35,-0.3512582
74.4,-0.3400984
74.45,-0.4457376
74.5,-0.6086819
74.55,-0.6366061
74.6,-0.6307924
74.65,-0.5772158
74.7,-0.5380819
74.75,-0.6434985
74.8,-0.7889118
74.85,-0.735284
74.9,-0.7039007
74.95,-0.7614905
75,-0.8587897
75.05,-0.7588841
75.1,-0.690263
75.15,-0.5881651
75.2,-0.450184
75.25,-0.4072492
75.3,-0.5318209
75.35,-0.7383551
75.4,-0.8127895
75.45,-0.8539731
75.5,-0.8297752
75.55,-0.7988129
75.6,-0.7000806
75.65,-0.6969904
75.7,-0.733592
75.75,-0.6218232
75.8,-0.5160344
75.85,-0.4961078
75.9,-0.577886
75.95,-0.630243
76,-0.5883656
76.05,-0.5075092
76.1,-0.3973347
76.15,-0.3603101
76.2,-0.3800966
76.25,-0.5482767
76.3,-0.6717
76.35,-0.611029
76.4,-0.5234192
76.45,-0.4878314
76.5,-0.3953667
76.55,-0.4819297
76.6,-0.5490769
76.65,-0.6595187
76.7,-0.6939741
76.75,-0.6129707
76.8,-0.5705104
76.85,-0.6302992
76.9,-0.6745695
76.95,-0.6583264
77,-0.6949388
77.05,-0.7847916
77.1,-0.837227
77.15,-0.950402
77.2,-1.101135
77.25,-0.9450064
77.3,-0.1794383
77.35,1.601106
77.4,5.661167
77.45,13.81551
77.5,29.35016
77.55,55.45849
77.6,94.72546
77.65,146.2876
77.7,210.2275
77.75,276.9617
77.8,338.133
77.85,387.2056
77.9,417.1061
77.95,423.6302
78,408.0358
78.05,372.841
78.1,322.4293
78.15,263.5135
78.2,204.2794
78.25,150.7735
78.3,107.0663
78.35,76.89578
78.4,57.32752
78.45,46.13368
78.5,39.44151
78.55,34.95907
78.6,31.15151
78.65,27.57019
78.7,23.95107
78.75,20.70133
78.8,18.06902
78.85,15.90891
78.9,13.86656
78.95,12.12686
79,10.55764
79.05,8.825088
79.1,7.413956
79.15,6.457297
79.2,5.687124
79.25,4.867583
79.3,4.288477
79.35,3.729596
79.4,3.176555
79.45,2.777826
79.5,2.385468
79.55,2.140539
79.6,1.807133
79.65,1.451207
79.7,1.022254
79.75,0.8889703
79.8,0.6000589
79.85,0.4907975
79.9,0.4556529
79.95,0.467557
80,0.4452828
80.05,0.4084024
80.1,0.4068039
80.15,0.3749849
80.2,0.315027
80.25,5.130705E-02
80.3,-0.2164468
80.35,-0.2591852
80.4,-9.415749E-02
80.45,0.012017
80.5,0.1576167
80.55,0.1048919
80.6,-8.974226E-02
80.65,-0.256022
80.7,-0.3010821
80.75,-0.267569
80.8,-0.3816307
80.85,-0.5037961
80.9,-0.506823
80.95,-0.4984798
81,-0.4823376
81.05,-0.6669067
81.1,-0.6320418
81.15,-0.6973096
81.2,-0.7403929
81.25,-0.7700087
81.3,-0.7762686
81.35,-0.7471686
81.4,-0.6954108
81.45,-0.7271294
81.5,-0.817263
81.55,-0.8863956
81.6,-1.01684
81.65,-1.182415
81.7,-1.339589
81.75,-1.44849
81.8,-1.584237
81.85,-1.444683
81.9,-1.219865
81.95,-1.093239
82,-1.134327
82.05,-1.218075
82.1,-1.360142
82.15,-1.408424
82.2,-1.313205
82.25,-1.121182
82.3,-1.003014
82.35,-1.069101
82.4,-1.177875
82.45,-1.416808
82.5,-1.432552
82.55,-1.430292
82.6,-1.40866
82.65,-1.288264
82.7,-1.176998
82.75,-1.032077
82.8,-0.8885702
82.85,-0.6311659
82.9,-0.1741378
82.95,1.237055
83,4.504701
83.05,11.7513
83.1,25.44401
83.15,46.76638
83.2,79.40971
83.25,122.994
83.3,176.562
83.35,235.9909
83.4,295.4194
83.45,348.4342
83.5,387.1508
83.55,409.5744
83.6,415.4299
83.65,403.5078
83.7,376.263
83.75,336.7749
83.8,289.7344
83.85,240.015
83.9,192.7642
83.95,152.455
84,119.9316
84.05,95.19249
84.1,78.26707
84.15,66.95583
84.2,58.49643
84.25,51.17702
84.3,44.71743
84.35,39.0894
84.4,33.68757
84.45,29.52556
84.5,26.33707
84.55,23.37891
84.6,20.69238
84.65,18.27651
84.7,15.91407
84.75,13.87127
84.8,12.64273
84.85,11.67405
84.9,10.41183
84.95,8.959874
85,7.459564
85.05,6.640343
85.1,6.159951
85.15,6.066395
85.2,5.564271
85.25,4.670416
85.3,3.710295
85.35,2.990244
85.4,2.558855
85.45,2.494097
85.5,2.285399
85.55,2.059642
85.6,1.731856
85.65,1.267517
85.7,0.8849848
85.75,0.7301836
85.8,0.6718277
85.85,0.3231998
85.9,7.233981E-03
85.95,-7.455561E-02
86,-0.1235903
86.05,-0.1781895
86.1,-0.1607865
86.15,-0.4709608
86.2,-0.8924547
86.25,-1.14093
86.3,-1.143851
86.35,-1.0475
86.4,-1.146941
86.45,-1.019439
86.5,-1.108103
86.55,-1.381834
86.6,-1.472924
86.65,-1.507009
86.7,-1.529332
86.75,-1.611946
86.8,-1.647769
86.85,-1.600107
86.9,-1.708887
86.95,-1.701726
87,-1.664635
87.05,-1.634035
87.1,-1.647508
87.15,-1.677225
87.2,-1.637486
87.25,-1.644767
87.3,-1.679038
87.35,-1.614424
87.4,-1.567533
87.45,-1.583643
87.5,-1.603275
87.55,-1.497229
87.6,-1.202503
87.65,-0.5881231
87.7,0.922356
87.75,4.371085
87.8,11.12652
87.85,22.34356
87.9,39.90069
87.95,64.4162
88,98.90878
88.05,142.6508
88.1,195.8503
88.15,254.9116
88.2,313.3268
88.25,364.7437
88.3,406.7987
88.35,435.4698
88.4,449.8266
88.45,448.701
88.5,431.65
88.55,400.0005
88.6,356.586
88.65,308.9249
88.7,260.3091
88.75,215.9352
88.8,177.0556
88.85,144.2571
88.9,117.5793
88.95,95.96089
89,78.76604
89.05,65.55973
89.1,55.15789
89.15,45.83838
89.2,38.03813
89.25,31.34609
89.3,25.91604
89.35,21.99146
89.4,19.09291
89.45,16.70768
89.5,14.43627
89.55,12.27126
89.6,10.35676
89.65,8.559876
89.7,7.057748
89.75,5.852125
89.8,4.990872
89.85,4.502005
89.9,3.848236
89.95,3.351029
90,2.661567
90.05,2.320467
90.1,1.847547
90.15,1.423541
90.2,1.224302
90.25,0.8929489
90.3,0.4459164
90.35,6.596436E-02
90.4,-0.3037942
90.45,-0.719385
90.5,-0.812859
90.55,-0.5944617
90.6,-1.348347E-02
90.65,1.173701
90.7,4.26014
90.75,8.800128
90.8,16.73188
90.85,30.36313
90.9,51.30539
90.95,80.01177
91,118.0357
91.05,164.566
91.1,218.143
91.15,273.1249
91.2,325.0962
91.25,370.5132
91.3,404.8051
91.35,429.927
91.4,441.195
91.45,437.8209
91.5,421.4476
91.55,391.2967
91.6,351.6734
91.65,307.1999
91.7,261.9397
91.75,217.3232
91.8,177.3997
91.85,144.3925
91.9,116.347
91.95,94.26788
92,78.07339
92.05,65.54668
92.1,55.23466
92.15,46.80923
92.2,40.02619
92.25,34.42052
92.3,29.55362
92.35,25.55843
92.4,22.11285
92.45,18.92485
92.5,16.08547
92.55,13.62332
92.6,11.8372
92.65,9.48462
92.7,8.080361
92.75,6.807904
92.8,6.172554
92.85,5.46396
92.9,4.766188
92.95,3.917977
93,2.928603
93.05,2.089536
93.1,1.659211
93.15,1.593828
93.2,1.521275
93.25,1.19733
93.3,0.639062
93.35,0.2016227
93.4,-5.373274E-02
93.45,-0.1449142
93.5,-0.1467458
93.55,-0.1672278
93.6,-0.4665287
93.65,-0.7468732
93.7,-0.9153037
93.75,-1.198714
93.8,-1.368715
93.85,-1.444116
93.9,-1.438761
93.95,-1.505846
94,-1.486289
94.05,-1.608929
94.1,-1.788203
94.15,-1.904908
94.2,-2.089391
94.25,-2.188847
94.3,-2.216347
94.35,-2.200231
94.4,-1.973452
94.45,-1.656337
94.5,-1.571458
94.55,-1.656078
94.6,-1.293073
94.65,-0.6006539
94.7,0.6086465
94.75,3.619581
94.8,8.565798
94.85,16.12243
94.9,28.01371
