Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, September 01, 2016 6:31:05 PM"
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
67.3,-6.269986E-02
67.35,-0.1189638
67.4,-0.1116733
67.45,-8.861565E-02
67.5,-6.796157E-02
67.55,2.483245E-03
67.6,9.883705E-02
67.65,6.789806E-02
67.7,-3.359745E-03
67.75,-6.976872E-02
67.8,-6.396861E-02
67.85,1.672642E-02
67.9,8.307227E-02
67.95,0.1209759
68,2.159362E-02
68.05,-3.003135E-02
68.1,-0.1225005
68.15,-0.2671577
68.2,-0.3065475
68.25,-0.4468056
68.3,-0.3964
68.35,-0.3307286
68.4,-0.2379618
68.45,-0.1384857
68.5,-0.293025
68.55,-0.4918968
68.6,-0.6070755
68.65,-0.6586994
68.7,-0.611307
68.75,-0.6673817
68.8,-0.7797624
68.85,-0.8238609
68.9,-0.8339546
68.95,-0.7564118
69,-0.6920612
69.05,-0.6829762
69.1,-0.6758631
69.15,-0.6691843
69.2,-0.6189093
69.25,-0.6264517
69.3,-0.7138358
69.35,-0.7770382
69.4,-0.8182777
69.45,-0.8574501
69.5,-0.6501126
69.55,-0.2528172
69.6,1.018223
69.65,4.377445
69.7,11.55256
69.75,26.21661
69.8,51.04161
69.85,87.69717
69.9,132.2405
69.95,181.2339
70,229.7047
70.05,269.2731
70.1,294.7004
70.15,302.3682
70.2,290.9876
70.25,260.9865
70.3,218.6922
70.35,173.1944
70.4,129.795
70.45,93.43033
70.5,66.74163
70.55,48.93967
70.6,37.5813
70.65,30.60457
70.7,26.66213
70.75,23.6236
70.8,20.9643
70.85,18.5073
70.9,16.33178
70.95,14.46249
71,12.59962
71.05,10.83802
71.1,9.34499
71.15,8.132454
71.2,7.209535
71.25,6.498457
71.3,6.04362
71.35,5.137722
71.4,4.164483
71.45,3.306602
71.5,2.632551
71.55,2.239967
71.6,1.838931
71.65,1.71615
71.7,1.55337
71.75,1.405129
71.8,1.429676
71.85,1.222836
71.9,1.05103
71.95,0.7854877
72,0.6039132
72.05,0.5051848
72.1,0.3558318
72.15,0.3181692
72.2,0.1999974
72.25,0.1009979
72.3,3.692897E-02
72.35,-0.0623197
72.4,-0.2005128
72.45,-0.3672566
72.5,-0.4281594
72.55,-0.2747468
72.6,-0.317522
72.65,-0.3710595
72.7,-0.5017984
72.75,-0.6628094
72.8,-0.8138199
72.85,-0.7306856
72.9,-0.7271217
72.95,-0.7845743
73,-0.9090378
73.05,-0.8298125
73.1,-0.9040973
73.15,-0.9907117
73.2,-0.9669097
73.25,-0.9551016
73.3,-0.9895399
73.35,-0.9415509
73.4,-0.8673496
73.45,-0.8648382
73.5,-0.9402991
73.55,-1.003801
73.6,-1.164192
73.65,-1.381322
73.7,-1.475918
73.75,-1.445461
73.8,-1.415792
73.85,-1.385275
73.9,-1.273274
73.95,-1.252876
74,-1.32889
74.05,-1.395901
74.1,-1.428504
74.15,-1.451218
74.2,-1.446347
74.25,-1.375995
74.3,-1.47455
74.35,-1.659992
74.4,-1.865552
74.45,-1.979455
74.5,-1.996466
74.55,-1.926051
74.6,-1.786493
74.65,-1.735052
74.7,-1.757557
74.75,-1.797723
74.8,-1.847794
74.85,-1.879126
74.9,-1.849325
74.95,-1.747593
75,-1.646249
75.05,-1.595261
75.1,-1.569167
75.15,-1.522056
75.2,-1.479076
75.25,-1.473293
75.3,-1.472537
75.35,-1.533142
75.4,-1.595869
75.45,-1.607821
75.5,-1.669084
75.55,-1.636925
75.6,-1.7233
75.65,-1.816404
75.7,-1.880582
75.75,-1.917747
75.8,-1.925573
75.85,-1.864507
75.9,-1.893929
75.95,-1.988664
76,-2.097611
76.05,-2.109485
76.1,-2.162659
76.15,-2.125876
76.2,-2.06921
76.25,-2.082774
76.3,-2.126323
76.35,-2.101295
76.4,-2.078125
76.45,-2.129779
76.5,-2.110579
76.55,-2.075568
76.6,-2.094909
76.65,-2.101388
76.7,-2.079269
76.75,-2.094206
76.8,-2.200026
76.85,-2.252245
76.9,-2.268566
76.95,-2.227088
77,-2.058877
77.05,-2.035409
77.1,-1.98936
77.15,-2.109352
77.2,-2.222937
77.25,-2.194454
77.3,-2.016906
77.35,-1.855638
77.4,-1.470417
77.45,-0.1419246
77.5,3.117458
77.55,10.07645
77.6,23.23176
77.65,43.91818
77.7,73.24059
77.75,111.5727
77.8,156.4794
77.85,204.5105
77.9,250.6925
77.95,289.6851
78,317.1949
78.05,329.9376
78.1,325.5854
78.15,305.7657
78.2,273.7894
78.25,234.0893
78.3,191.1611
78.35,149.5218
78.4,113.7038
78.45,84.38197
78.5,63.13467
78.55,49.7996
78.6,41.04441
78.65,35.14521
78.7,29.99572
78.75,25.92146
78.8,22.40814
78.85,19.92454
78.9,17.8581
78.95,15.63341
79,13.1557
79.05,10.91392
79.1,8.99698
79.15,7.487197
79.2,6.36195
79.25,5.365112
79.3,4.276626
79.35,3.415987
79.4,2.904896
79.45,2.579238
79.5,2.225778
79.55,1.773438
79.6,1.301812
79.65,0.9676824
79.7,0.7220538
79.75,0.4986232
79.8,0.2670401
79.85,2.781453E-02
79.9,-0.2627715
79.95,-0.6063809
80,-0.8237395
80.05,-1.021083
80.1,-1.235779
80.15,-1.395993
80.2,-1.532326
80.25,-1.543816
80.3,-1.550818
80.35,-1.659902
80.4,-1.7057
80.45,-1.733181
80.5,-1.788242
80.55,-1.878805
80.6,-2.079848
80.65,-2.220021
80.7,-2.379406
80.75,-2.486848
80.8,-2.510377
80.85,-2.501043
80.9,-2.576257
80.95,-2.653774
81,-2.645975
81.05,-2.561891
81.1,-2.398704
81.15,-2.264114
81.2,-2.179212
81.25,-2.266439
81.3,-2.558346
81.35,-2.778462
81.4,-2.968075
81.45,-3.022242
81.5,-2.961395
81.55,-2.778794
81.6,-2.44516
81.65,-2.464659
81.7,-2.538769
81.75,-2.585058
81.8,-2.681057
81.85,-2.861945
81.9,-2.830632
81.95,-2.697368
82,-2.620669
82.05,-2.693882
82.1,-2.661453
82.15,-2.68446
82.2,-2.693895
82.25,-2.631073
82.3,-2.576758
82.35,-2.606665
82.4,-2.619325
82.45,-2.637398
82.5,-2.664466
82.55,-2.677113
82.6,-2.677079
82.65,-2.640934
82.7,-2.629177
82.75,-2.621981
82.8,-2.644838
82.85,-2.606376
82.9,-2.493346
82.95,-2.441362
83,-2.134325
83.05,-1.518955
83.1,-0.4272694
83.15,2.197729
83.2,8.223311
83.25,18.79143
83.3,34.87175
83.35,58.76548
83.4,90.9845
83.45,128.7148
83.5,169.9408
83.55,211.1073
83.6,247.7106
83.65,276.7754
83.7,296.1026
83.75,304.8908
83.8,302.3696
83.85,289.5652
83.9,267.237
83.95,236.8907
84,202.3996
84.05,167.6454
84.1,136.3075
84.15,110.8544
84.2,91.64529
84.25,77.10091
84.3,66.14841
84.35,58.13777
84.4,51.35738
84.45,45.55041
84.5,40.48228
84.55,35.74936
