Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 06, 2018 11:11:01 PM"
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
76.1,0.4053645
76.15,0.388492
76.2,0.4317367
76.25,0.5274191
76.3,0.4803458
76.35,0.3766566
76.4,0.2453258
76.45,0.2618477
76.5,0.3917837
76.55,0.5240045
76.6,0.548898
76.65,0.626353
76.7,0.8103969
76.75,1.398925
76.8,2.724266
76.85,5.846624
76.9,12.79633
76.95,26.34849
77,49.45913
77.05,84.63882
77.1,133.7065
77.15,194.3543
77.2,260.5657
77.25,323.85
77.3,375.2901
77.35,406.732
77.4,412.1524
77.45,392.7541
77.5,353.9553
77.55,301.1659
77.6,242.9865
77.65,186.8336
77.7,140.3814
77.75,104.7104
77.8,79.66266
77.85,64.1301
77.9,54.56907
77.95,46.75506
78,40.75012
78.05,36.0177
78.1,32.82014
78.15,30.07453
78.2,28.3584
78.25,27.08925
78.3,25.47485
78.35,23.58764
78.4,21.67917
78.45,19.46145
78.5,17.45816
78.55,16.02267
78.6,14.81977
78.65,13.41617
78.7,12.02343
78.75,10.8992
78.8,9.697275
78.85,8.74526
78.9,8.013084
78.95,7.378174
79,6.769044
79.05,6.21189
79.1,5.796094
79.15,5.493849
79.2,5.243314
79.25,4.905664
79.3,4.424556
79.35,3.975206
79.4,3.616959
79.45,3.28565
79.5,2.948729
79.55,2.960359
79.6,2.884763
79.65,2.702108
79.7,2.408354
79.75,2.261228
79.8,2.245426
79.85,2.220642
79.9,2.006904
79.95,1.958797
80,1.733334
80.05,1.584648
80.1,1.527731
80.15,1.573494
80.2,1.596394
80.25,1.488316
80.3,1.345682
80.35,1.262678
80.4,1.146684
80.45,0.9961981
80.5,0.9211513
80.55,0.8203001
80.6,0.7495658
80.65,0.7275895
80.7,0.6909377
80.75,0.5984654
80.8,0.5998164
80.85,0.679119
80.9,0.7737331
80.95,0.8645015
81,0.8322616
81.05,0.6475351
81.1,0.4330342
81.15,0.3794038
81.2,0.4188613
81.25,0.4522831
81.3,0.4553772
81.35,0.3474996
81.4,0.1933977
81.45,8.656812E-02
81.5,0.1344829
81.55,0.1737476
81.6,6.747716E-02
81.65,-8.482415E-02
81.7,-0.1737008
81.75,-0.183046
81.8,-0.0680358
81.85,0.0997078
81.9,0.2585214
81.95,0.216166
82,0.1075621
82.05,1.902701E-02
82.1,9.665377E-02
82.15,8.488385E-02
82.2,0.137991
82.25,0.1110773
82.3,0.1201382
82.35,0.3918486
82.4,0.7974085
82.45,1.844349
82.5,3.886499
82.55,8.203508
82.6,16.47955
82.65,30.98933
82.7,53.278
82.75,85.75909
82.8,129.3866
82.85,182.6365
82.9,242.0951
82.95,301.9693
83,353.4727
83.05,388.7487
