Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Tuesday, November 14, 2017 6:57:20 PM"
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
61.9,0.1390692
61.95,-3.323162E-02
62,-0.1897125
62.05,-0.4325442
62.1,-0.674282
62.15,-0.7615637
62.2,-0.7834629
62.25,-0.8329136
62.3,-0.8849007
62.35,-0.9964411
62.4,-1.205444
62.45,-1.405261
62.5,-1.506277
62.55,-1.582595
62.6,-1.690541
62.65,-1.748761
62.7,-1.725281
62.75,-1.70618
62.8,-1.74095
62.85,-1.802265
62.9,-1.858248
62.95,-1.940206
63,-1.999725
63.05,-1.977793
63.1,-1.946864
63.15,-1.951327
63.2,-2.022061
63.25,-2.11274
63.3,-2.151909
63.35,-2.108419
63.4,-2.092599
63.45,-2.153277
63.5,-2.204376
63.55,-2.238448
63.6,-2.272131
63.65,-2.272622
63.7,-2.259536
63.75,-2.239349
63.8,-2.260921
63.85,-2.306045
63.9,-2.423182
63.95,-2.46104
64,-2.513428
64.05,-2.462171
64.1,-2.434933
64.15,-2.443489
64.2,-2.448007
64.25,-2.373924
64.3,-2.38278
64.35,-2.348632
64.4,-2.290111
64.45,-2.292588
64.5,-2.343575
64.55,-2.379391
64.6,-2.365767
64.65,-2.330982
64.7,-2.343232
64.75,-2.414062
64.8,-2.461221
64.85,-2.465842
64.9,-2.484892
64.95,-2.368787
65,-2.296936
65.05,-2.316824
65.1,-2.394306
65.15,-2.533328
65.2,-2.609731
65.25,-2.602216
65.3,-2.532023
65.35,-2.473679
65.4,-2.475736
65.45,-2.522589
65.5,-2.571503
65.55,-2.622181
65.6,-2.67896
65.65,-2.699873
65.7,-2.667101
65.75,-2.639993
65.8,-2.657757
65.85,-2.615107
65.9,-2.481276
65.95,-2.3942
66,-2.459412
66.05,-2.515902
66.1,-2.565895
66.15,-2.660754
66.2,-2.77011
66.25,-2.814879
66.3,-2.83115
66.35,-2.833511
66.4,-2.869011
66.45,-2.881134
66.5,-2.88694
66.55,-2.890301
66.6,-2.87356
66.65,-2.884539
66.7,-2.947938
66.75,-3.034062
66.8,-3.030693
66.85,-3.052853
66.9,-3.013724
66.95,-3.008766
67,-3.017929
67.05,-3.037846
67.1,-3.073528
67.15,-3.038183
67.2,-2.953414
67.25,-2.926678
67.3,-2.911373
67.35,-2.933166
67.4,-2.982402
67.45,-3.002035
67.5,-2.963318
67.55,-2.945031
67.6,-2.955793
67.65,-2.946221
67.7,-2.965411
67.75,-3.006527
67.8,-3.081952
67.85,-3.07743
67.9,-3.052136
67.95,-3.018876
68,-2.990112
68.05,-2.906921
68.1,-2.955508
68.15,-3.001562
68.2,-3.057549
68.25,-3.087115
68.3,-3.085215
68.35,-3.067991
68.4,-3.075803
68.45,-3.05776
68.5,-2.87529
68.55,-2.08435
68.6,0.1461681
68.65,5.131737
68.7,14.81017
68.75,31.24269
68.8,55.62273
68.85,87.51587
68.9,125.5393
68.95,165.6025
69,202.5634
69.05,230.3872
69.1,245.8539
69.15,247.1248
69.2,234.8517
69.25,210.7926
69.3,179.1367
69.35,144.4264
69.4,111.3136
69.45,82.94081
69.5,60.8811
69.55,45.19922
69.6,34.71864
69.65,27.67213
69.7,22.52105
69.75,18.79101
69.8,16.11508
69.85,14.27559
69.9,12.63252
69.95,11.49228
70,10.46555
70.05,9.41101
70.1,8.513397
70.15,8.021061
70.2,7.654953
70.25,7.20822
70.3,6.721935
70.35,6.315932
70.4,5.909783
70.45,5.666737
70.5,5.648186
70.55,5.491867
70.6,4.98352
70.65,4.337917
70.7,3.767732
70.75,3.318968
70.8,2.922278
70.85,2.613599
70.9,2.260854
70.95,1.715334
71,1.204285
71.05,0.8044777
71.1,0.597206
71.15,0.3360505
71.2,6.413407E-02
71.25,-0.2616409
71.3,-0.5778035
71.35,-0.8449513
71.4,-1.03828
71.45,-1.22525
71.5,-1.41996
71.55,-1.616071
71.6,-1.789585
71.65,-1.908752
71.7,-1.998236
71.75,-2.060417
71.8,-2.144507
71.85,-2.168247
71.9,-2.276597
71.95,-2.440667
72,-2.453323
72.05,-2.46679
72.1,-2.534609
72.15,-2.568877
72.2,-2.610947
72.25,-2.684724
72.3,-2.835951
72.35,-2.956649
72.4,-3.022597
72.45,-3.062566
72.5,-3.089607
72.55,-3.076666
72.6,-3.058704
72.65,-3.053583
72.7,-3.039409
72.75,-3.115708
72.8,-3.177109
72.85,-3.28666
72.9,-3.359855
72.95,-3.424623
73,-3.393845
73.05,-3.387539
73.1,-3.304016
73.15,-3.338671
73.2,-3.407073
73.25,-3.540808
73.3,-3.619861
73.35,-3.627284
73.4,-3.64452
73.45,-3.678984
73.5,-3.649712
73.55,-3.608023
73.6,-3.605315
73.65,-3.605431
73.7,-3.624988
73.75,-3.638927
73.8,-3.703116
73.85,-3.772278
73.9,-3.725867
73.95,-3.71425
74,-3.735214
74.05,-3.766728
74.1,-3.834838
74.15,-3.764705
74.2,-3.687746
74.25,-3.525283
74.3,-3.416287
74.35,-3.463982
74.4,-3.531877
74.45,-3.552302
74.5,-3.511885
74.55,-3.465125
74.6,-3.463884
74.65,-3.484844
74.7,-3.557677
74.75,-3.689222
74.8,-3.747796
74.85,-3.738549
74.9,-3.732038
74.95,-3.781939
75,-3.943039
75.05,-3.957027
75.1,-3.958478
75.15,-3.859689
75.2,-3.801849
75.25,-3.744006
75.3,-3.746248
75.35,-3.794789
75.4,-3.885648
75.45,-3.921233
75.5,-3.927801
75.55,-3.955859
75.6,-3.978276
75.65,-3.966277
75.7,-3.930241
75.75,-3.937566
75.8,-3.924447
75.85,-3.905627
75.9,-3.909561
75.95,-4.011612
76,-4.038361
76.05,-4.013573
76.1,-4.039046
76.15,-4.065122
76.2,-4.089925
76.25,-4.053202
76.3,-3.995317
76.35,-3.954802
76.4,-3.923513
76.45,-3.905663
76.5,-3.887224
76.55,-3.758998
76.6,-3.360585
76.65,-2.332838
76.7,0.223932
76.75,5.553719
76.8,14.8251
76.85,29.45049
76.9,49.8169
76.95,76.22265
77,108.2205
77.05,144.8184
77.1,180.5739
77.15,212.7257
77.2,236.8873
77.25,251.366
77.3,254.3685
77.35,246.4168
77.4,228.3486
77.45,202.3721
77.5,171.726
77.55,140.5082
77.6,111.9336
77.65,87.78876
77.7,69.14592
77.75,54.96873
77.8,44.18454
77.85,35.73873
77.9,29.68287
77.95,25.42198
78,21.81874
78.05,18.80711
78.1,16.63007
78.15,14.88675
78.2,13.22102
78.25,11.97261
78.3,11.10053
78.35,10.38291
78.4,9.575233
78.45,8.989361
78.5,8.646882
78.55,8.235018
78.6,7.646086
78.65,6.994984
78.7,6.489229
78.75,6.12935
78.8,5.639517
78.85,5.262619
78.9,4.990241
78.95,4.38657
79,3.531357
79.05,2.829198
79.1,2.264127
79.15,1.911926
79.2,1.405004
79.25,1.054325
79.3,0.7403629
79.35,0.3385458
79.4,-0.0811892
79.45,-0.4071266
79.5,-0.6265658
79.55,-0.8879142
79.6,-1.174567
79.65,-1.368211
79.7,-1.548833
79.75,-1.692995
