Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Tuesday, November 14, 2017 6:57:20 PM",,
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
67.7,13.71528,,
67.75,13.87762,,
67.8,13.83489,,
67.85,13.74969,,
67.9,13.84429,,
67.95,13.8013,,
68,13.61584,,
68.05,13.58412,,
68.1,13.62375,,
68.15,13.58912,,
68.2,13.55103,,
68.25,13.53875,,
68.3,13.51886,,
68.35,13.61756,,
68.4,13.46799,,
68.45,13.49289,,
68.5,13.85082,,
68.55,13.97143,,
68.6,14.34758,,
68.65,14.71347,,
68.7,15.09211,,
68.75,15.48354,,
68.8,15.57439,,
68.85,15.4278,,
68.9,15.32195,,
68.95,15.30233,,
69,15.48354,,
69.05,16.01856,,
69.1,16.48359,,
69.15,16.8715,,
69.2,17.08727,,
69.25,16.99933,,
69.3,16.99182,,
69.35,16.88177,,
69.4,16.72421,,
69.45,16.72568,,
69.5,16.82073,,
69.55,16.9802,,
69.6,17.16392,,
69.65,17.26732,,
69.7,17.39925,,
69.75,17.67889,,
69.8,17.83398,,
69.85,17.97459,,
69.9,18.01373,,
69.95,17.97712,,
70,17.76567,,
70.05,17.66472,,
70.1,17.88326,,
70.15,18.31092,,
70.2,18.72975,,
70.25,19.1247,,
70.3,19.49719,,
70.35,19.72477,,
70.4,19.83437,,
70.45,20.03724,,
70.5,20.19019,,
70.55,20.18497,,
70.6,20.17648,,
70.65,20.18776,,
70.7,20.48603,,
70.75,20.58554,,
70.8,20.70279,,
70.85,20.93728,,
70.9,21.10309,,
70.95,21.29818,,
71,21.50743,,
71.05,21.67971,,
71.1,22.03377,,
71.15,22.42031,,
71.2,22.74442,,
71.25,23.12175,,
71.3,23.19433,,
71.35,23.1295,,
71.4,23.37028,,
71.45,23.51713,,
71.5,23.58487,,
71.55,23.56461,,
71.6,23.73977,,
71.65,24.10776,,
71.7,24.46591,,
71.75,24.66579,,
71.8,24.6773,,
71.85,24.65921,,
71.9,24.61851,,
71.95,24.76959,,
72,25.41656,,
72.05,25.95975,,
72.1,26.15609,,
72.15,26.37579,,
72.2,26.46176,,
72.25,26.67876,,
72.3,26.82255,,
72.35,26.91227,,
72.4,26.94817,,
72.45,26.72927,,
72.5,26.38911,,
72.55,26.41833,,
72.6,26.84229,,
72.65,27.0836,,
72.7,27.10134,,
72.75,27.14055,,
72.8,27.0992,,
72.85,27.16938,,
72.9,27.24751,,
72.95,27.54761,,
73,28.05412,,
73.05,28.59834,,
73.1,28.9804,,
73.15,29.23738,,
73.2,29.39088,,
73.25,29.17879,,
73.3,28.9032,,
73.35,28.53265,,
73.4,28.52101,,
73.45,28.9321,,
73.5,29.17731,,
73.55,29.12728,,
73.6,29.12264,,
73.65,29.17663,,
73.7,29.31201,,
73.75,29.61746,,
73.8,30.2761,,
73.85,30.99997,,
73.9,31.22524,,
73.95,31.06824,,
74,30.9051,,
74.05,30.69934,,
74.1,30.46133,,
74.15,30.46227,,
74.2,30.6845,,
74.25,31.31928,,
74.3,32.00467,,
74.35,32.41299,,
74.4,32.63887,,
74.45,32.80607,,
74.5,32.91185,,
74.55,32.94526,,
74.6,32.98301,,
74.65,33.1149,,
74.7,33.30642,,
74.75,33.44004,,
74.8,33.32281,,
74.85,33.56393,,
74.9,33.91552,,
74.95,34.05901,,
75,33.77818,,
75.05,33.62689,,
75.1,33.59429,,
75.15,33.94737,,
75.2,34.70245,,
75.25,35.71836,,
75.3,36.62041,,
75.35,36.82673,,
75.4,36.63022,,
75.45,36.23347,,
75.5,36.34246,,
75.55,36.73064,,
75.6,36.62792,,
75.65,36.48349,,
75.7,36.56501,,
75.75,36.56255,,
75.8,36.86011,,
75.85,37.2211,,
75.9,37.40635,,
75.95,37.50714,,
76,37.67802,,
76.05,37.96187,,
76.1,38.13615,,
76.15,37.98045,,
76.2,38.17567,,
76.25,38.13181,,
76.3,38.24084,,
76.35,38.96264,,
76.4,40.37619,,
76.45,41.35089,,
76.5,41.47271,,
76.55,41.48624,,
76.6,41.45692,,
76.65,41.06997,,
76.7,40.57706,,
76.75,40.48236,,
76.8,40.79476,,
76.85,40.90546,,
76.9,41.14707,,
76.95,41.84152,,
77,42.24775,,
77.05,42.45111,,
77.1,42.49668,,
77.15,42.54022,,
77.2,42.71843,,
77.25,42.62898,,
77.3,42.75051,,
77.35,43.27801,,
77.4,43.7611,,
77.45,44.1244,,
77.5,44.42039,,
77.55,44.46878,,
77.6,44.59093,,
77.65,44.79382,,
77.7,44.45083,,
77.75,44.66857,,
77.8,44.6219,,
77.85,44.73548,,
77.9,44.74289,,
77.95,44.87445,,
78,45.01593,,
78.05,45.28203,,
78.1,45.73782,,
78.15,46.15592,,
78.2,46.69273,,
78.25,47.03393,,
78.3,47.20098,,
78.35,46.72581,,
78.4,46.60169,,
78.45,46.72971,,
78.5,47.23051,,
78.55,47.26958,,
78.6,47.23755,,
78.65,47.16344,,
78.7,47.02941,,
78.75,47.0386,,
78.8,47.50666,,
78.85,48.30085,,
78.9,48.81324,,
78.95,49.07148,,
79,48.90645,,
79.05,49.06196,,
79.1,49.46734,,
79.15,49.5647,,
79.2,49.88767,,
79.25,50.47266,,
79.3,51.27835,,
79.35,52.104,,
79.4,52.65398,,
79.45,52.99574,,
79.5,53.29256,,
79.55,53.51214,,
79.6,53.68,,
79.65,53.94175,,
79.7,54.52763,,
79.75,55.09469,,
79.8,54.82164,,
79.85,54.64807,,
79.9,54.67357,,
79.95,54.71148,,
80,54.63176,,
80.05,54.61189,,
80.1,54.94714,,
80.15,55.32082,,
80.2,55.47823,,
80.25,55.63982,,
80.3,55.95792,,
80.35,56.45621,,
80.4,56.7893,,
80.45,57.22255,,
80.5,57.73664,,
80.55,57.60538,,
80.6,57.27158,,
80.65,56.79754,,
80.7,56.72766,,
80.75,56.95675,,
80.8,57.36512,,
80.85,57.82401,,
80.9,58.2251,,
80.95,58.38253,,
81,58.28806,,
81.05,58.57942,,
81.1,59.23501,,
81.15,60.00459,,
81.2,60.79701,,
81.25,61.36771,,
81.3,61.3669,,
81.35,61.07693,,
81.4,60.56259,,
81.45,60.28491,,
81.5,60.38468,,
81.55,60.67664,,
81.6,61.04351,,
81.65,61.44856,,
81.7,61.8828,,
81.75,62.45426,,
81.8,63.00458,,
81.85,63.66618,,
81.9,64.49237,,
81.95,65.07771,,
82,65.44399,,
82.05,66.00033,,
82.1,66.58248,,
82.15,66.96983,,
82.2,67.36388,,
82.25,67.84251,,
82.3,68.22185,,
82.35,68.5787,,
82.4,69.08116,,
82.45,69.42877,,
82.5,69.6926,,
82.55,69.85618,,
82.6,70.19747,,
82.65,71.13328,,
82.7,71.6136,,
82.75,72.07156,,
82.8,72.3537,,
82.85,72.54971,,
82.9,72.99254,,
82.95,73.35394,,
83,73.44495,,
83.05,73.54554,,
83.1,73.79906,,
83.15,74.21157,,
83.2,74.89284,,
83.25,75.28157,,
83.3,75.26936,,
83.35,75.12459,,
83.4,74.15807,,
83.45,73.3845,,
83.5,73.35063,,
83.55,73.04663,,
83.6,72.60732,,
83.65,72.60925,,
83.7,72.79066,,
83.75,72.74295,,
83.8,72.69891,,
83.85,72.88553,,
83.9,73.26478,,
83.95,74.09818,,
84,74.50784,,
84.05,74.60595,,
84.1,74.39189,,
84.15,73.48755,,
84.2,73.34671,,
84.25,73.97342,,
84.3,74.57053,,
84.35,74.99791,,
84.4,75.23494,,
84.45,75.16098,,
84.5,75.17474,,
84.55,75.72483,,
84.6,76.17075,,
84.65,76.45967,,
84.7,76.29301,,
84.75,76.27892,,
84.8,76.11954,,
