Data File Name,NK_SEQ_DEC122017_High Sensitivity DNA Assay_DE24802700_2017-12-12_11-57-18.xad,,
Data File Path,C:\Users\jlchiniquy\Downloads,,
Date Created,"Tuesday, December 12, 2017 7:57:18 PM",,
Date Last Modified,"Tuesday, December 12, 2017 9:25:02 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
66.45,28.76647,,
66.5,28.44334,,
66.55,27.90075,,
66.6,27.60332,,
66.65,27.45867,,
66.7,27.40262,,
66.75,27.64445,,
66.8,28.05374,,
66.85,28.11655,,
66.9,28.0224,,
66.95,28.14077,,
67,28.38199,,
67.05,28.592,,
67.1,28.95821,,
67.15,29.49868,,
67.2,29.83084,,
67.25,29.89211,,
67.3,29.88465,,
67.35,29.99562,,
67.4,30.00364,,
67.45,29.94588,,
67.5,29.99452,,
67.55,30.03218,,
67.6,29.85187,,
67.65,29.42362,,
67.7,29.09239,,
67.75,28.78286,,
67.8,28.23163,,
67.85,27.86942,,
67.9,27.81779,,
67.95,27.90759,,
68,27.99284,,
68.05,27.9591,,
68.1,27.78993,,
68.15,27.30603,,
68.2,26.71523,,
68.25,26.36838,,
68.3,26.02245,,
68.35,25.62622,,
68.4,25.30999,,
68.45,25.04633,,
68.5,24.81505,,
68.55,24.47435,,
68.6,24.12163,,
68.65,23.92839,,
68.7,23.74432,,
68.75,23.58188,,
68.8,23.4966,,
68.85,23.5306,,
68.9,23.58476,,
68.95,23.49255,,
69,23.35749,,
69.05,23.16919,,
69.1,22.89129,,
69.15,22.73005,,
69.2,22.77641,,
69.25,22.93087,,
69.3,23.02894,,
69.35,22.86969,,
69.4,22.55663,,
69.45,22.23594,,
69.5,21.98642,,
69.55,21.99742,,
69.6,22.11672,,
69.65,22.18462,,
69.7,22.12624,,
69.75,21.79469,,
69.8,21.45936,,
69.85,21.28061,,
69.9,21.26309,,
69.95,21.33845,,
70,21.35046,,
70.05,21.31903,,
70.1,21.10556,,
70.15,20.89466,,
70.2,20.87955,,
70.25,21.06496,,
70.3,21.39401,,
70.35,21.50852,,
70.4,21.44874,,
70.45,21.38794,,
70.5,21.22408,,
70.55,21.13211,,
70.6,21.10944,,
70.65,21.19816,,
70.7,21.31685,,
70.75,21.36491,,
70.8,21.45138,,
70.85,21.58278,,
70.9,21.54496,,
70.95,21.59714,,
71,21.80113,,
71.05,21.85137,,
71.1,21.84536,,
71.15,21.9206,,
71.2,22.03787,,
71.25,22.12015,,
71.3,22.10311,,
71.35,22.19656,,
71.4,22.22034,,
71.45,22.07421,,
71.5,22.00279,,
71.55,21.94074,,
71.6,21.87503,,
71.65,21.92971,,
71.7,22.05173,,
71.75,22.32276,,
71.8,22.45721,,
71.85,22.43311,,
71.9,22.45869,,
71.95,22.5763,,
72,23.04272,,
72.05,23.44527,,
72.1,23.41855,,
72.15,23.23575,,
72.2,23.12101,,
72.25,23.00806,,
72.3,22.88884,,
72.35,22.77221,,
72.4,22.73435,,
72.45,22.72354,,
72.5,22.71038,,
72.55,23.00611,,
72.6,23.4929,,
72.65,23.57298,,
72.7,23.33256,,
72.75,23.01579,,
72.8,22.89438,,
72.85,23.04955,,
72.9,23.22079,,
72.95,23.69294,,
73,24.13111,,
73.05,24.2705,,
73.1,24.28923,,
73.15,24.45005,,
73.2,24.52774,,
73.25,24.51754,,
73.3,24.40796,,
73.35,24.34604,,
73.4,24.19794,,
73.45,24.2632,,
73.5,24.33539,,
73.55,24.53294,,
73.6,24.70315,,
73.65,24.90264,,
73.7,24.87749,,
73.75,24.74213,,
73.8,24.6935,,
73.85,24.73674,,
73.9,24.7429,,
73.95,24.83767,,
74,25.00583,,
74.05,25.19964,,
74.1,25.39931,,
74.15,25.53814,,
74.2,25.70548,,
74.25,25.62265,,
74.3,25.72778,,
74.35,25.64097,,
74.4,25.82269,,
74.45,26.06645,,
74.5,26.26466,,
74.55,26.38859,,
74.6,26.31165,,
74.65,26.0395,,
74.7,26.06605,,
74.75,26.06214,,
74.8,26.27253,,
74.85,26.52752,,
74.9,26.67929,,
74.95,26.95469,,
75,27.11675,,
75.05,27.19432,,
75.1,27.34906,,
75.15,27.31724,,
75.2,27.3345,,
75.25,27.46498,,
75.3,27.65369,,
75.35,27.56492,,
75.4,27.25144,,
75.45,26.80462,,
75.5,26.58851,,
75.55,26.50072,,
75.6,27.02928,,
75.65,27.68599,,
75.7,27.99654,,
75.75,27.92599,,
75.8,27.74485,,
75.85,27.55943,,
75.9,27.77415,,
75.95,28.02879,,
76,28.33256,,
76.05,28.37664,,
76.1,28.39593,,
76.15,28.26333,,
76.2,28.17313,,
76.25,28.69483,,
76.3,29.17518,,
76.35,29.46464,,
76.4,29.5317,,
76.45,29.42204,,
76.5,29.40736,,
76.55,29.15586,,
76.6,29.44162,,
76.65,29.61132,,
76.7,29.55598,,
76.75,29.79369,,
76.8,30.09867,,
76.85,30.15929,,
76.9,29.91886,,
76.95,29.75769,,
77,29.71398,,
77.05,29.26074,,
77.1,29.4275,,
77.15,29.51042,,
77.2,29.54599,,
77.25,29.85788,,
77.3,29.87536,,
77.35,30.22711,,
77.4,30.637,,
77.45,30.83384,,
77.5,31.20836,,
77.55,30.96394,,
77.6,31.02746,,
77.65,31.266,,
77.7,30.93241,,
77.75,30.84971,,
77.8,30.83144,,
77.85,30.62526,,
77.9,30.76226,,
77.95,31.1457,,
78,31.61005,,
78.05,31.83586,,
78.1,32.08044,,
78.15,32.73715,,
78.2,32.88821,,
78.25,32.8857,,
78.3,32.78841,,
78.35,32.4394,,
78.4,32.19816,,
78.45,32.41121,,
78.5,32.79843,,
78.55,33.08674,,
78.6,32.9725,,
78.65,32.91747,,
78.7,32.60276,,
78.75,32.9046,,
78.8,33.20132,,
78.85,33.41355,,
78.9,33.11508,,
78.95,32.9124,,
79,33.09367,,
79.05,33.31851,,
79.1,33.83392,,
79.15,34.11015,,
79.2,34.00147,,
79.25,34.11158,,
79.3,34.04584,,
79.35,34.35149,,
79.4,34.56511,,
79.45,34.54723,,
79.5,34.75519,,
79.55,34.74616,,
79.6,34.97222,,
79.65,35.29233,,
79.7,35.36592,,
79.75,35.46716,,
79.8,35.24781,,
79.85,35.27744,,
79.9,35.34098,,
79.95,35.2468,,
80,35.34026,,
80.05,35.72947,,
80.1,35.82173,,
80.15,35.72117,,
80.2,35.29142,,
80.25,35.02546,,
80.3,35.09462,,
80.35,35.30062,,
80.4,35.93413,,
80.45,36.26475,,
80.5,36.23355,,
80.55,36.27528,,
80.6,36.30497,,
80.65,36.41025,,
80.7,36.65422,,
80.75,37.02134,,
80.8,37.43227,,
80.85,37.72189,,
80.9,38.3842,,
80.95,39.07336,,
81,39.31659,,
81.05,39.57079,,
81.1,39.30892,,
81.15,38.76752,,
81.2,38.07848,,
81.25,37.44272,,
81.3,37.48808,,
81.35,37.83074,,
81.4,38.47729,,
81.45,39.13147,,
81.5,39.27925,,
81.55,39.62525,,
81.6,39.8529,,
81.65,39.62202,,
81.7,39.66267,,
81.75,39.72763,,
81.8,40.06811,,
81.85,40.5291,,
81.9,41.00896,,
81.95,41.24598,,
82,41.05359,,
82.05,40.63361,,
82.1,40.21811,,
82.15,39.94818,,
82.2,39.87542,,
82.25,40.24557,,
82.3,40.93576,,
82.35,41.74452,,
82.4,42.58725,,
82.45,42.94885,,
82.5,42.7589,,
82.55,42.48378,,
82.6,42.32706,,
82.65,42.45913,,
82.7,42.63112,,
82.75,42.93571,,
82.8,42.97055,,
82.85,42.87123,,
82.9,43.00064,,
82.95,43.56034,,
83,43.9941,,
83.05,43.94479,,
83.1,43.59319,,
83.15,43.37309,,
83.2,43.10912,,
83.25,43.29491,,
83.3,43.69894,,
83.35,43.95187,,
83.4,44.11266,,
83.45,44.79255,,
83.5,45.54084,,
83.55,46.16634,,
83.6,46.48721,,
83.65,46.56633,,
83.7,46.36765,,
83.75,45.86001,,
83.8,45.53921,,
83.85,45.62228,,
83.9,45.66872,,
83.95,45.88505,,
84,46.54119,,
84.05,47.02715,,
84.1,47.19304,,
84.15,46.9292,,
84.2,46.74011,,
84.25,46.55951,,
84.3,46.62948,,
84.35,47.06318,,
84.4,47.52051,,
84.45,47.70323,,
84.5,47.72947,,
84.55,47.60413,,
84.6,47.61589,,
84.65,47.91394,,
84.7,48.50597,,
84.75,49.05593,,
84.8,49.45443,,
84.85,49.73313,,
84.9,49.84184,,
84.95,49.84999,,
85,50.25169,,
85.05,50.44542,,
85.1,50.21734,,
85.15,49.91795,,
85.2,49.46858,,
85.25,49.12513,,
85.3,48.87048,,
85.35,48.77586,,
85.4,49.2972,,
85.45,50.15747,,
85.5,51.1234,,
85.55,52.09353,,
85.6,52.74369,,
85.65,53.0079,,
