Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Thursday, February 02, 2017 10:30:54 PM"
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
48.7,0.1034156
48.75,-3.695273E-03
48.8,-9.214658E-02
48.85,-0.1430101
48.9,-0.2014376
48.95,-0.2872743
49,-0.1867484
49.05,-6.033323E-02
49.1,1.108828E-02
49.15,2.615177E-02
49.2,1.668177E-02
49.25,-9.128746E-02
49.3,-0.1575433
49.35,-0.1676468
49.4,-0.1868189
49.45,-0.2320211
49.5,-0.2349448
49.55,-0.111767
49.6,-0.1268753
49.65,-0.1736729
49.7,-0.2418325
49.75,-0.3072351
49.8,-0.3538546
49.85,-0.2473817
49.9,1.672308E-02
49.95,0.1415055
50,0.1174964
50.05,1.586115E-02
50.1,-9.026913E-02
50.15,-0.2134645
50.2,-0.2136353
50.25,0.3887638
50.3,2.32102
50.35,7.67551
50.4,19.56705
50.45,41.57356
50.5,75.40897
50.55,118.6414
50.6,165.4052
50.65,206.1983
50.7,228.6752
50.75,224.84
50.8,196.0767
50.85,151.2018
50.9,102.5251
50.95,60.78589
51,31.63146
51.05,14.6141
51.1,6.717058
51.15,3.593944
51.2,2.279582
51.25,1.750834
51.3,1.205601
51.35,0.8686327
51.4,0.981258
51.45,1.110117
51.5,1.024412
51.55,0.8793028
51.6,0.7039178
51.65,0.4331728
51.7,0.2366362
51.75,0.0537374
51.8,-0.1979171
51.85,-0.4226467
51.9,-0.5447642
51.95,-0.543538
52,-0.541773
52.05,-0.5316119
52.1,-0.6107948
52.15,-0.6574616
52.2,-0.7313589
52.25,-0.8346493
52.3,-0.8290249
52.35,-0.8023282
52.4,-0.6525733
52.45,-0.6394415
52.5,-0.6157411
52.55,-0.7248044
52.6,-0.7744338
52.65,-0.6966223
52.7,-0.6225525
52.75,-0.4665928
52.8,-0.3313197
52.85,-0.3033083
52.9,-0.3706752
52.95,-0.5199977
53,-0.5768563
53.05,-0.7627388
53.1,-0.8116213
53.15,-0.8182653
53.2,-0.7950983
53.25,-0.7967346
53.3,-0.7775412
53.35,-0.7149156
53.4,-0.7491788
53.45,-0.8086796
53.5,-0.8829165
53.55,-0.8931043
53.6,-0.9392211
53.65,-0.9305602
53.7,-0.9927913
53.75,-1.066215
53.8,-1.124212
53.85,-1.107881
53.9,-1.124838
53.95,-1.267138
54,-1.295537
54.05,-1.273733
54.1,-1.265403
54.15,-1.281921
54.2,-1.272201
54.25,-1.329735
54.3,-1.449344
54.35,-1.42809
54.4,-1.457666
54.45,-1.610013
54.5,-1.790682
54.55,-1.879815
54.6,-1.879408
54.65,-1.809571
54.7,-1.625717
54.75,-1.45618
54.8,-1.302983
54.85,-1.035373
54.9,0.3292924
54.95,4.838604
55,15.97066
55.05,38.30304
55.1,74.47765
55.15,123.5948
55.2,179.7914
55.25,231.5154
55.3,266.101
55.35,273.0687
55.4,250.3124
55.45,203.3278
55.5,144.4976
55.55,89.93302
55.6,48.25504
55.65,22.86642
55.7,10.22485
55.75,5.457792
55.8,3.903589
55.85,3.034085
55.9,2.294942
55.95,1.720488
56,1.343401
56.05,1.032016
56.1,0.6147118
56.15,0.2190673
56.2,-6.847583E-02
56.25,-0.14256
56.3,-0.176439
56.35,-0.1633429
56.4,-0.2634755
56.45,-0.5201389
56.5,-0.7074237
56.55,-0.8096754
56.6,-0.8753474
56.65,-1.056638
56.7,-1.275636
56.75,-1.507117
56.8,-1.61516
56.85,-1.569808
56.9,-1.49426
56.95,-1.542761
57,-1.585132
57.05,-1.505133
57.1,-1.408281
57.15,-1.436908
57.2,-1.340168
57.25,-1.484605
57.3,-1.730982
57.35,-1.940281
57.4,-1.966295
57.45,-1.994114
57.5,-2.07077
57.55,-2.016736
57.6,-2.01865
57.65,-2.08093
57.7,-2.038106
57.75,-1.984465
57.8,-2.117967
57.85,-2.243195
57.9,-2.194165
57.95,-1.883945
58,-1.713494
58.05,-1.65983
58.1,-1.752723
58.15,-1.941926
58.2,-2.096694
58.25,-2.069516
58.3,-1.985723
58.35,-1.897137
58.4,-1.882591
58.45,-1.833075
58.5,-1.827416
58.55,-2.026995
58.6,-2.036371
58.65,-2.016565
58.7,-1.905896
58.75,-1.771656
58.8,-1.697161
58.85,-1.657727
58.9,-1.745647
58.95,-1.728028
59,-1.835437
59.05,-1.747993
59.1,-1.695548
59.15,-1.745145
59.2,-1.719606
59.25,-1.679133
59.3,-1.608367
59.35,-1.67999
59.4,-1.437279
59.45,-1.394319E-02
59.5,5.11854
59.55,17.13794
59.6,40.91671
59.65,80.68134
59.7,134.3513
59.75,195.1132
59.8,251.1737
59.85,289.1326
59.9,299.92
59.95,281.3984
60,238.1983
60.05,180.2705
60.1,121.097
60.15,71.99472
60.2,38.27572
60.25,20.52325
60.3,12.95864
60.35,9.755184
60.4,7.904763
60.45,6.477828
60.5,5.598541
60.55,4.888983
60.6,4.207582
60.65,3.507776
60.7,2.911431
60.75,2.501839
60.8,2.260135
60.85,1.985679
60.9,1.623112
60.95,1.288225
61,0.9435897
61.05,0.5471203
61.1,0.1180617
61.15,-0.283276
61.2,-0.6359224
61.25,-0.9814557
61.3,-1.079245
61.35,-1.150283
61.4,-1.093102
61.45,-1.051589
61.5,-0.9914553
61.55,-1.033805
61.6,-1.305282
61.65,-1.554997
61.7,-1.74192
61.75,-1.8227
61.8,-1.838648
61.85,-1.822482
61.9,-1.857309
61.95,-1.819591
62,-1.778657
62.05,-1.781301
62.1,-1.864586
62.15,-2.050323
62.2,-2.351635
62.25,-2.458744
62.3,-2.436686
62.35,-2.358681
62.4,-2.286896
62.45,-2.27965
62.5,-2.328987
62.55,-2.42714
62.6,-2.408297
62.65,-2.380539
62.7,-2.328898
62.75,-2.23957
62.8,-2.290044
62.85,-2.333262
62.9,-2.35254
62.95,-2.400097
63,-2.346248
63.05,-2.33233
63.1,-2.360271
63.15,-2.51367
63.2,-2.59939
63.25,-2.537129
63.3,-2.543221
63.35,-2.606864
63.4,-2.597332
63.45,-2.542051
63.5,-2.477798
63.55,-2.375514
63.6,-2.226159
63.65,-2.093614
63.7,-2.140077
63.75,-2.148164
63.8,-2.236922
63.85,-2.254671
63.9,-2.144939
63.95,-2.00658
64,-1.952444
64.05,-2.060411
64.1,-2.216415
64.15,-2.319148
64.2,-2.210971
64.25,-2.096377
64.3,-2.112667
64.35,-2.096631
64.4,-2.107138
64.45,-2.152209
64.5,-2.18081
64.55,-2.150531
64.6,-2.162335
64.65,-2.155257
64.7,-2.125951
64.75,-2.145777
64.8,-2.197681
64.85,-2.142731
64.9,-2.110013
64.95,-2.073785
65,-2.028624
65.05,-2.11427
65.1,-2.223856
65.15,-2.262532
65.2,-2.246943
65.25,-2.264114
65.3,-2.342736
65.35,-2.414611
65.4,-2.485922
