Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, January 23, 2018 8:13:37 PM"
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
61.65,6.511562
61.7,5.434828
61.75,4.641842
61.8,4.044326
61.85,3.545807
61.9,3.068759
61.95,2.712645
62,2.26225
62.05,1.546856
62.1,1.240229
62.15,0.9663026
62.2,0.6623198
62.25,0.3537987
62.3,0.1314837
62.35,-0.1086827
62.4,-0.5672547
62.45,-0.830291
62.5,-1.177889
62.55,-1.285558
62.6,-1.309988
62.65,-1.365779
62.7,-1.502404
62.75,-1.706595
62.8,-1.719344
62.85,-1.719174
62.9,-1.626149
62.95,-1.807656
63,-1.791656
63.05,-1.813749
63.1,-1.825354
63.15,-1.657612
63.2,-1.621099
63.25,-1.665052
63.3,-1.644949
63.35,-1.299868
63.4,-1.392068
63.45,-1.44567
63.5,-1.518779
63.55,-1.646721
63.6,-1.631968
63.65,-1.561427
63.7,-1.519577
63.75,-1.78916
63.8,-1.785447
63.85,-1.811037
63.9,-1.862568
63.95,-1.83059
64,-1.800713
64.05,-1.794792
64.1,-1.925214
64.15,-2.019311
64.2,-2.284842
64.25,-2.491457
64.3,-2.368653
64.35,-2.203142
64.4,-2.129874
64.45,-2.211169
64.5,-2.416229
64.55,-2.534389
64.6,-2.491611
64.65,-2.395252
64.7,-2.227503
64.75,-2.027525
64.8,-1.949367
64.85,-1.92023
64.9,-1.922006
64.95,-1.920654
65,-1.931353
65.05,-1.898358
65.1,-1.958317
65.15,-1.99386
65.2,-1.748253
65.25,-1.507732
65.3,-1.244411
65.35,-1.155666
65.4,-1.31097
65.45,-1.568034
65.5,-1.656712
65.55,-1.608014
65.6,-1.596612
65.65,-1.510831
65.7,-1.53635
65.75,-1.632109
65.8,-1.606394
65.85,-1.53932
65.9,-1.570994
65.95,-1.605713
66,-1.70467
66.05,-1.611092
66.1,-1.735755
66.15,-1.796345
66.2,-1.821657
66.25,-1.769085
66.3,-1.731448
66.35,-1.611569
66.4,-1.593433
66.45,-1.882487
66.5,-1.99713
66.55,-1.85809
66.6,-1.591014
66.65,-1.43074
66.7,-1.413559
66.75,-1.593634
66.8,-1.758852
66.85,-1.79105
66.9,-1.733471
66.95,-1.617065
67,-1.577027
67.05,-1.424659
67.1,-1.304197
67.15,-1.209942
67.2,-1.136897
67.25,-1.23006
67.3,-1.277855
67.35,-1.257272
67.4,-1.290776
67.45,-1.38158
67.5,-1.334664
67.55,-1.384835
67.6,-1.344057
67.65,-1.319651
67.7,-1.129914
67.75,-1.084413
67.8,-1.044127
67.85,-1.153661
67.9,-1.459879
67.95,-1.658517
68,-1.828447
68.05,-1.743366
68.1,-1.7705
68.15,-1.763073
68.2,-1.801473
68.25,-1.780059
68.3,-1.754853
68.35,-1.819009
68.4,-1.924987
68.45,-1.826689
68.5,-1.406735
68.55,-1.108402
68.6,-0.9343533
68.65,-0.9834405
68.7,-1.130361
68.75,-1.251069
68.8,-1.366526
68.85,-1.451381
68.9,-1.50282
68.95,-1.347319
69,-1.085525
69.05,-0.9006987
69.1,-0.8385103
69.15,-0.8429522
69.2,-0.8686123
69.25,-0.9241128
69.3,-0.8146856
69.35,-0.577787
69.4,0.8183499
69.45,5.480543
69.5,17.06583
69.55,40.34056
69.6,80.55458
69.65,139.2802
69.7,212.139
69.75,293.3085
69.8,368.4645
69.85,419.5139
69.9,439.3947
69.95,425.638
70,380.3274
70.05,314.2965
70.1,240.6622
70.15,171.1941
70.2,114.9271
70.25,77.71838
70.3,56.8563
70.35,45.33012
70.4,39.42397
70.45,35.56018
70.5,33.12882
70.55,30.55415
70.6,28.18631
70.65,25.76715
70.7,22.91294
70.75,20.01758
70.8,17.65998
70.85,15.40886
70.9,13.31566
70.95,11.48579
71,9.883141
71.05,8.518144
71.1,7.357646
71.15,6.680451
71.2,5.985077
71.25,5.796422
71.3,5.741644
71.35,5.724574
71.4,5.533845
71.45,5.266494
71.5,4.491689
71.55,3.502924
71.6,2.857571
71.65,2.288561
71.7,1.947241
71.75,1.732702
71.8,1.628448
71.85,1.327575
71.9,1.22195
71.95,1.03501
72,0.7103776
72.05,0.4769829
72.1,0.1885886
72.15,3.887502E-02
72.2,1.147093E-02
72.25,0.1295036
72.3,0.1553124
72.35,0.1386955
72.4,0.0538401
72.45,3.632851E-02
72.5,0.1248165
72.55,0.1654984
72.6,0.2311167
72.65,0.2234658
72.7,0.0642646
72.75,-0.1383331
72.8,-0.2655483
72.85,-0.2956847
72.9,-0.2798693
72.95,-0.1920936
73,-0.1526489
73.05,-8.027042E-02
73.1,-9.822224E-02
73.15,-0.1520825
73.2,-0.2616307
73.25,-0.3903103
73.3,-0.5518183
73.35,-0.5549484
73.4,-0.6543503
73.45,-0.732488
73.5,-0.7741418
73.55,-0.8000307
73.6,-0.6790504
73.65,-0.6114879
73.7,-0.5938732
73.75,-0.7386354
73.8,-0.7738315
73.85,-0.9410204
73.9,-0.9304527
73.95,-0.8616136
74,-0.8490044
74.05,-0.8206553
74.1,-0.6665741
74.15,-0.6036444
74.2,-0.5080037
74.25,-0.3544161
74.3,-0.2574302
74.35,-0.2970454
74.4,-0.3620492
74.45,-0.4879929
74.5,-0.6051065
74.55,-0.3541629
74.6,-0.3189833
74.65,-0.126841
74.7,-0.1298125
74.75,-5.987737E-02
74.8,-8.309329E-02
74.85,-7.180297E-03
74.9,-8.543409E-03
74.95,-0.2746455
75,-0.2471775
75.05,-0.3487346
75.1,-0.4029667
75.15,-0.5023206
75.2,-0.4361379
75.25,-0.3935269
75.3,-0.5079079
75.35,-0.5589167
75.4,-0.5086986
75.45,-0.2822998
75.5,-0.215582
75.55,-9.098045E-02
75.6,-0.1936863
75.65,-0.3827395
75.7,-0.4856758
75.75,-0.4055749
75.8,-0.3056835
75.85,-0.2597665
75.9,-0.1191546
75.95,-0.2155859
76,-0.3096888
76.05,-0.3051709
76.1,-0.2459105
76.15,-0.2066028
76.2,-9.295721E-02
76.25,-5.862037E-02
76.3,-6.531087E-02
76.35,4.081707E-02
76.4,0.1966081
76.45,0.1490728
76.5,-1.698866E-02
76.55,-0.1761335
76.6,-0.2609172
76.65,-0.1943877
76.7,-5.528129E-02
76.75,-6.678183E-02
76.8,-6.111463E-02
76.85,-0.1096538
76.9,-0.2714298
76.95,-0.4462647
77,-0.5412716
77.05,-0.733234
77.1,-0.6802003
77.15,-0.1850017
77.2,0.9670292
77.25,4.283366
77.3,11.26308
77.35,25.06054
77.4,49.89283
77.45,90.09169
77.5,145.7572
77.55,215.1163
77.6,290.6048
77.65,361.1758
77.7,419.4482
77.75,456.4615
77.8,469.209
77.85,455.2206
77.9,417.0338
77.95,360.5078
78,295.3148
78.05,231.3825
