Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 06, 2018 11:11:01 PM",,
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
61.95,1.751194,,
62,1.671514,,
62.05,1.457976,,
62.1,1.566159,,
62.15,2.104806,,
62.2,2.749644,,
62.25,3.144493,,
62.3,2.89919,,
62.35,2.998424,,
62.4,3.730938,,
62.45,4.090706,,
62.5,4.062329,,
62.55,3.841762,,
62.6,3.468269,,
62.65,2.9732,,
62.7,2.522013,,
62.75,2.781279,,
62.8,2.984278,,
62.85,3.446716,,
62.9,4.044467,,
62.95,4.33081,,
63,4.165009,,
63.05,3.489605,,
63.1,2.960582,,
63.15,2.834386,,
63.2,2.985702,,
63.25,3.63738,,
63.3,4.264129,,
63.35,4.562656,,
63.4,4.443668,,
63.45,3.965687,,
63.5,3.97665,,
63.55,4.243495,,
63.6,4.562759,,
63.65,5.020253,,
63.7,5.386877,,
63.75,5.625484,,
63.8,5.925847,,
63.85,6.000041,,
63.9,6.379984,,
63.95,6.394374,,
64,6.398255,,
64.05,6.539724,,
64.1,6.622144,,
64.15,6.67076,,
64.2,6.91404,,
64.25,7.392476,,
64.3,8.09697,,
64.35,8.449362,,
64.4,8.401255,,
64.45,7.940851,,
64.5,7.606602,,
64.55,7.721109,,
64.6,8.630575,,
64.65,9.570516,,
64.7,10.14409,,
64.75,10.06929,,
64.8,9.749468,,
64.85,9.717906,,
64.9,9.874417,,
64.95,10.18032,,
65,10.46243,,
65.05,10.57227,,
65.1,10.1864,,
65.15,9.735538,,
65.2,9.719965,,
65.25,9.900637,,
65.3,10.00616,,
65.35,10.05679,,
65.4,10.17374,,
65.45,10.56071,,
65.5,10.98298,,
65.55,11.5731,,
65.6,12.0022,,
65.65,11.91441,,
65.7,11.98066,,
65.75,12.17985,,
65.8,12.25129,,
65.85,12.35685,,
65.9,12.51698,,
65.95,12.62622,,
66,12.62618,,
66.05,12.68168,,
66.1,12.86508,,
66.15,12.82192,,
66.2,12.98553,,
66.25,13.40592,,
66.3,13.82583,,
66.35,14.15683,,
66.4,14.54499,,
66.45,15.14704,,
66.5,15.72309,,
66.55,16.02965,,
66.6,16.03866,,
66.65,15.5988,,
66.7,15.16688,,
66.75,15.27407,,
66.8,15.91392,,
66.85,16.52563,,
66.9,16.7943,,
66.95,17.09825,,
67,17.28757,,
67.05,17.27927,,
67.1,17.40342,,
67.15,17.6205,,
67.2,17.66557,,
67.25,17.66984,,
67.3,17.90379,,
67.35,18.18861,,
67.4,18.09079,,
67.45,17.94341,,
67.5,18.0657,,
67.55,18.1746,,
67.6,18.50033,,
67.65,18.99157,,
67.7,19.26066,,
67.75,19.17121,,
67.8,18.75615,,
67.85,18.67092,,
67.9,19.07667,,
67.95,19.73957,,
68,20.56471,,
68.05,21.05211,,
68.1,20.94193,,
68.15,20.43675,,
68.2,20.0272,,
68.25,20.23031,,
68.3,20.89126,,
68.35,21.55717,,
68.4,21.93428,,
68.45,21.66664,,
68.5,21.01,,
68.55,20.64826,,
68.6,20.71787,,
68.65,20.9765,,
68.7,21.27,,
68.75,21.56726,,
68.8,22.16236,,
68.85,22.87231,,
68.9,23.26551,,
68.95,23.15068,,
69,22.85636,,
69.05,22.94891,,
69.1,23.7218,,
69.15,24.67478,,
69.2,25.36266,,
69.25,25.60346,,
69.3,25.0816,,
69.35,24.37875,,
69.4,23.95025,,
69.45,23.70343,,
69.5,23.64991,,
69.55,23.79738,,
69.6,24.27129,,
69.65,25.12201,,
69.7,25.80419,,
69.75,26.33094,,
69.8,26.57126,,
69.85,26.49246,,
69.9,26.4253,,
69.95,26.5171,,
70,26.68248,,
